time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,5.048087823442612e-05,13.675261671009078,nan,inf,0,0,0,0,2,2,1,1
1,0.014621288142820925,13.675261671009078,nan,inf,0,0,0,0,1,1,1,0
2,0.024776301157938885,13.675261671009078,1.355394601205614,inf,0,0,0,0,1,1,1,0
3,0.03206758513679582,13.675261671009078,1.8114624804203647,inf,0,0,0,0,1,1,1,0
4,0.037559786259090566,13.675261671009078,2.2682235281474563,inf,0,0,0,0,0,0,0,0
5,0.0420846117243614,13.675261671009078,2.725423319021201,inf,0,0,0,0,1,1,1,0
6,0.04592500265323071,13.675261671009078,3.181559755379379,inf,0,0,0,0,0,0,0,0
7,0.04931341051378905,13.675261671009078,3.636826054430057,inf,0,0,0,0,0,0,0,0
8,0.05209919586526242,13.675261671009078,4.090908481719103,inf,0,0,0,0,1,1,1,0
9,0.05389688543968727,13.675261671009078,4.546688147929035,inf,0,0,0,0,1,1,1,0
10,0.054511427833873166,13.675261671009078,5.003003507248615,inf,0,0,0,0,1,1,1,0
11,0.0539371167954871,13.675261671009078,5.4586674418124534,inf,0,0,0,0,0,0,0,0
12,0.05218493542052763,13.675261671009078,5.913319313541231,inf,0,0,0,0,0,0,0,0
13,0.04968929604701956,13.675261671009078,6.3677249191788015,inf,0,0,0,0,0,0,0,0
14,0.04646285747552215,13.675261671009078,6.821582419341964,inf,0,0,0,0,0,0,0,0
15,0.042755818098740676,13.675261671009078,7.2752677578021006,inf,0,0,0,0,0,0,0,0
16,0.03888043792442085,13.675261671009078,7.728868963894147,inf,0,0,0,0,0,0,0,0
17,0.03529593137474139,13.675261671009078,8.1822632792859,inf,0,0,0,0,0,0,0,0
18,0.032126812709443384,13.675261671009078,8.635177758311995,inf,0,0,0,0,0,0,0,0
19,0.02948115255768136,13.675261671009078,9.08756173606841,inf,0,0,0,0,0,0,0,0
20,0.027291726529682182,13.675261671009078,9.539413319367753,inf,0,0,0,0,0,0,0,0
21,0.025642602101294248,13.675261671009078,9.99069719712371,inf,0,0,0,0,0,0,0,0
22,0.024468589419299136,13.675261671009078,10.441385144646631,inf,0,0,0,0,0,0,0,0
23,0.02365386729708419,13.675261671009078,10.891444107785428,inf,0,0,0,0,0,0,0,0
24,0.023128878605030337,13.675261671009078,11.34084750173867,inf,0,0,0,0,0,0,0,0
25,0.022915676890645928,13.675261671009078,11.789569332187524,inf,0,0,0,0,0,0,0,0
26,0.022909709152540935,13.675261671009078,12.237580745796265,inf,0,0,0,0,0,0,0,0
27,0.022935625007746117,13.675261671009078,12.68486158897073,inf,0,0,0,0,0,0,0,0
28,0.022936787883198743,13.675261671009078,13.131396268889667,inf,0,0,0,0,0,0,0,0
29,0.023044959768134633,13.675261671009078,13.51591133061646,inf,0,0,0,0,0,0,0,0
30,0.022943449769453013,13.675261671009078,13.539912584170798,inf,0,0,0,0,0,0,0,0
31,0.022756907110910676,13.675261671009078,13.539287743494912,inf,0,0,0,0,0,0,0,0
32,0.022474069828031993,13.675261671009078,13.539206232096602,inf,0,0,0,0,0,0,0,0
33,0.022194105832759756,13.675261671009078,13.539159828239796,inf,0,0,0,0,0,0,0,0
34,0.021895775022414035,13.675261671009078,13.539202736379206,inf,0,0,0,0,0,0,0,0
35,0.021471726258478808,13.675261671009078,13.539228663731013,inf,0,0,0,0,1,1,1,0
36,0.02100378719850113,13.675261671009078,13.53912475952378,inf,0,0,0,0,0,0,0,0
37,0.02046915116161757,13.675261671009078,13.539004695261637,inf,0,0,0,0,0,0,0,0
