time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,8.972677845054278e-07,15.553400686254218,nan,inf,0,0,0,0,2,2,1,1
1,-0.0034300930057906643,15.553400686254218,nan,inf,0,0,0,0,2,2,1,1
2,-0.005677519261810071,15.553400686254218,1.3485233447010727,inf,0,0,0,0,1,1,1,0
3,-0.006681674778062336,15.553400686254218,1.8041240776135943,inf,0,0,0,0,0,0,0,0
4,-0.006397806090867334,15.553400686254218,2.260591711517674,inf,0,0,0,0,0,0,0,0
5,-0.0059201908503742585,15.553400686254218,2.7182684147448897,inf,0,0,0,0,1,1,1,0
6,-0.006415264932258675,15.553400686254218,3.1766300417791236,inf,0,0,0,0,0,0,0,0
7,-0.006918017032018045,15.553400686254218,3.634002587075503,inf,0,0,0,0,0,0,0,0
8,-0.006327603750966276,15.553400686254218,4.090375453583675,inf,0,0,0,0,0,0,0,0
9,-0.004981898925957299,15.553400686254218,4.547399956417584,inf,0,0,0,0,0,0,0,0
10,-0.003478509894184985,15.553400686254218,5.004486987599437,inf,0,0,0,0,0,0,0,0
11,-0.0020283700533594512,15.553400686254218,5.460994409157865,inf,0,0,0,0,0,0,0,0
12,-0.0011074119859935262,15.553400686254218,5.915744361007821,inf,0,0,0,0,0,0,0,0
13,-0.0008126333619845011,15.553400686254218,6.370540118170491,inf,0,0,0,0,0,0,0,0
14,-2.7182937799147676e-05,15.553400686254218,6.824369996368049,inf,0,0,0,0,0,0,0,0
15,-0.0011103434226434057,15.553400686254218,7.276558879876412,inf,0,0,0,0,1,1,1,0
16,-0.0034330272177175714,15.553400686254218,7.728721082029481,inf,0,0,0,0,0,0,0,0
17,-0.005917968783104735,15.553400686254218,8.180848171958791,inf,0,0,0,0,0,0,0,0
18,-0.008608395602545713,15.553400686254218,8.632771238428514,inf,0,0,0,0,0,0,0,0
19,-0.011056076000028144,15.553400686254218,9.084415558793468,inf,0,0,0,0,0,0,0,0
20,-0.013157412233728748,15.553400686254218,9.536633286474993,inf,0,0,0,0,0,0,0,0
21,-0.014388639630801083,15.553400686254218,9.98810786177211,inf,0,0,0,0,0,0,0,0
