time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,-3.019535401048134e-06,14.145386251328002,nan,inf,0,0,0,0,3,3,1,1
1,0.023371210178762668,14.145386251328002,nan,inf,0,0,0,0,3,3,1,1
2,0.03953066602050464,14.145386251328002,1.356967186221662,inf,0,0,0,0,4,2,3,1
3,0.05088719164922242,14.145386251328002,1.80983794860982,inf,0,0,0,0,4,2,3,1
4,0.059089045104885864,14.145386251328002,2.265873575813214,inf,0,0,0,0,4,2,4,1
5,0.06526515001227398,14.145386251328002,2.7227211926830073,inf,0,0,0,0,3,1,3,0
6,0.07073122973080284,14.145386251328002,3.1791861220466537,inf,0,0,0,0,5,1,8,0
7,0.07494692312304445,14.145386251328002,3.6350677153706443,inf,0,0,0,0,3,2,2,1
8,0.07823474527333132,14.145386251328002,4.090649663775374,inf,0,0,0,0,4,2,3,1
9,0.0811737122365831,14.145386251328002,4.546487705456419,inf,0,0,0,0,2,2,1,1
10,0.08237992892353804,14.145386251328002,5.003168237598438,inf,0,0,0,0,2,1,2,0
11,0.08247199601864211,14.145386251328002,5.45903951922883,inf,0,0,0,0,2,1,2,0
12,0.08150462676330983,14.145386251328002,5.914141441279618,inf,0,0,0,0,1,1,1,0
13,0.0793010809321493,14.145386251328002,6.368260288234109,inf,0,0,0,0,1,1,1,0
14,0.07609688336253621,14.145386251328002,6.8217993792456175,inf,0,0,0,0,0,0,0,0
15,0.07214011570825639,14.145386251328002,7.27514839249284,inf,0,0,0,0,0,0,0,0
16,0.06764475332459732,14.145386251328002,7.728221864653959,inf,0,0,0,0,0,0,0,0
17,0.06287780136703615,14.145386251328002,8.181095165526907,inf,0,0,0,0,0,0,0,0
18,0.05817173205867597,14.145386251328002,8.633895027033628,inf,0,0,0,0,1,1,1,0
19,0.05362507067307717,14.145386251328002,9.086397687043153,inf,0,0,0,0,0,0,0,0
20,0.04954416557102357,14.145386251328002,9.538345598018621,inf,0,0,0,0,1,1,1,0
21,0.04595398070472379,14.145386251328002,9.989757103723424,inf,0,0,0,0,1,1,1,0
22,0.042901988272248295,14.145386251328002,10.440592183653035,inf,0,0,0,0,1,1,1,0
23,0.04021784263272828,14.145386251328002,10.890805769089427,inf,0,0,0,0,1,1,1,0
24,0.037887293757784365,14.145386251328002,11.34035982706863,inf,0,0,0,0,1,1,1,0
25,0.03590675049044723,14.145386251328002,11.789225960056575,inf,0,0,0,0,1,1,1,0
26,0.034202462811082336,14.145386251328002,12.237371534443502,inf,0,0,0,0,1,1,1,0
27,0.03266674417633818,14.145386251328002,12.68476917170577,inf,0,0,0,0,1,1,1,0
28,0.03128131854092814,14.145386251328002,13.1313964081666,inf,0,0,0,0,1,1,1,0
29,0.03002574949097082,14.145386251328002,13.577229539801616,inf,0,0,0,0,2,2,1,1
30,0.028653839653750734,14.145386251328002,13.959288296965733,inf,0,0,0,0,1,1,1,0
31,0.027190795443145364,14.145386251328002,13.99710370068552,inf,0,0,0,0,3,3,1,1
32,0.025777768336473633,14.145386251328002,13.997074304036818,inf,0,0,0,0,2,2,1,1
33,0.02442693481837477,14.145386251328002,13.996987132106787,inf,0,0,0,0,1,1,1,0
34,0.02306307564060004,14.145386251328002,13.997018687916391,inf,0,0,0,0,2,2,1,1
35,0.021860109700435552,14.145386251328002,13.997027345230507,inf,0,0,0,0,3,3,1,1
36,0.02079492015490253,14.145386251328002,13.997004968485552,inf,0,0,0,0,2,2,1,1
37,0.019723211521158666,14.145386251328002,13.996959501275553,inf,0,0,0,0,1,1,1,0
38,0.0187426285736261,14.145386251328002,13.996900179920827,inf,0,0,0,0,1,1,1,0
39,0.017723376214869784,14.145386251328002,13.996823046201195,inf,0,0,0,0,1,1,1,0
40,0.01673618191838093,14.145386251328002,13.996504077512482,inf,0,0,0,0,2,2,1,1
41,0.01574964845747388,14.145386251328002,13.996212284000888,inf,0,0,0,0,3,3,1,1
42,0.014811524471738537,14.145386251328002,13.996177683792332,inf,0,0,0,0,1,1,1,0
43,0.01372968378958555,14.145386251328002,13.996155122281571,inf,0,0,0,0,1,1,1,0
44,0.012471634189337472,14.145386251328002,13.994939577792376,inf,0,0,0,0,2,2,1,1
45,0.011047585820524577,14.145386251328002,13.992096273334989,inf,0,0,0,0,1,1,1,0
46,0.00974052974769174,14.145386251328002,13.989856046645315,inf,0,0,0,0,2,2,1,1
