time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, 0.001302, 10.076653, 22, 1, 22, 0
20, 99999.990000, 10.078169, 0, 1, 0, 0
30, 0.002604, 10.080594, 21, 1, 21, 0
40, 0.023438, 10.083639, 9, 1, 9, 0
50, 0.015625, 10.086993, 13, 1, 13, 0
60, 0.016927, 10.090469, 22, 1, 22, 0
70, 0.026042, 10.093928, 2, 1, 2, 0
80, 0.027344, 10.097261, 14, 1, 14, 0
90, 0.027344, 10.100373, 22, 1, 22, 0
100, 0.001302, 10.103235, 22, 1, 22, 0
110, 0.032552, 10.105836, 6, 1, 6, 0
120, 0.026042, 10.108175, 1, 1, 1, 0
130, 0.024089, 10.110270, 4, 2, 3, 1
140, 0.001085, 10.112151, 3, 2, 2, 1
150, 0.005642, 10.113857, 4, 2, 3, 1
160, 0.005642, 10.115453, 4, 2, 3, 1
170, 0.001302, 10.116964, 1, 1, 1, 0
180, 0.026693, 10.118428, 4, 1, 4, 0
190, 0.046875, 10.119884, 8, 1, 8, 0
200, 0.053385, 10.121372, 22, 1, 22, 0
210, 0.029948, 10.122924, 22, 1, 22, 0
220, 0.011719, 10.124569, 22, 1, 22, 0
230, 0.011719, 10.126329, 22, 1, 22, 0
240, 0.010417, 10.128220, 21, 1, 21, 0
250, 0.003906, 10.130257, 17, 1, 17, 0
260, -0.005208, 10.132447, 15, 1, 15, 0
270, -0.015625, 10.134796, 13, 1, 13, 0
280, -0.019531, 10.137305, 6, 2, 4, 2
290, -0.021267, 10.139973, 3, 2, 2, 1
300, -0.010851, 10.142796, 1, 1, 1, 0
310, 99999.990000, 10.145769, 0, 1, 0, 0
320, 99999.990000, 10.148887, 0, 1, 0, 0
330, 99999.990000, 10.152143, 0, 1, 0, 0
340, 99999.990000, 10.155530, 0, 1, 0, 0
350, -0.011719, 10.159041, 2, 2, 1, 1
360, -0.019531, 10.162668, 3, 2, 2, 1
370, -0.029427, 10.166403, 5, 2, 3, 2
380, -0.028497, 10.170239, 7, 2, 4, 3
390, -0.031101, 10.174168, 13, 1, 13, 0
400, -0.031622, 10.178181, 13, 1, 13, 0
410, -0.031250, 10.182274, 13, 1, 13, 0
420, -0.031250, 10.186446, 13, 1, 13, 0
430, -0.029948, 10.190697, 14, 1, 14, 0
440, -0.028646, 10.195027, 14, 1, 14, 0
450, -0.027344, 10.199436, 14, 1, 14, 0
460, -0.027344, 10.203924, 14, 1, 14, 0
470, -0.027344, 10.208492, 14, 1, 14, 0
480, -0.027344, 10.213141, 14, 1, 14, 0
490, -0.027344, 10.217870, 14, 1, 14, 0
500, -0.029948, 10.222681, 14, 1, 14, 0
510, -0.032552, 10.227576, 14, 1, 14, 0
520, -0.035156, 10.232556, 14, 1, 14, 0
530, -0.035156, 10.237623, 14, 1, 14, 0
540, -0.036458, 10.242775, 13, 1, 13, 0
550, -0.037760, 10.248015, 13, 1, 13, 0
560, -0.040365, 10.253346, 12, 1, 12, 0
570, -0.041667, 10.258769, 12, 1, 12, 0
580, -0.043490, 10.264285, 10, 2, 6, 4
590, -0.046354, 10.269894, 5, 2, 3, 2
600, -0.059375, 10.275598, 2, 1, 2, 0
610, -0.073177, 10.281397, 1, 1, 1, 0
620, 99999.990000, 10.287291, 0, 1, 0, 0
630, 99999.990000, 10.293279, 0, 1, 0, 0
640, 99999.990000, 10.299363, 0, 1, 0, 0
650, 0.023438, 10.305542, 1, 1, 1, 0
660, 0.045573, 10.311819, 2, 1, 2, 0
670, 0.066406, 10.318204, 3, 1, 3, 0
680, 0.062500, 10.324693, 4, 1, 4, 0
690, 0.058594, 10.331299, 5, 1, 5, 0
700, 0.054688, 10.338023, 6, 1, 6, 0
710, 0.050781, 10.344860, 5, 1, 5, 0
720, 0.046875, 10.351810, 6, 1, 6, 0
730, 0.042969, 10.358873, 7, 1, 7, 0
740, 0.039062, 10.366049, 8, 1, 8, 0
750, 0.036458, 10.373091, 8, 1, 8, 0
760, 0.033854, 10.379592, 9, 1, 9, 0
770, 0.029948, 10.385174, 9, 1, 9, 0
780, 0.019531, 10.389559, 14, 1, 14, 0
790, 0.003906, 10.392533, 19, 1, 19, 0
800, -0.011719, 10.394287, 21, 1, 21, 0
810, -0.020833, 10.395087, 21, 1, 21, 0
820, -0.023438, 10.395228, 21, 1, 21, 0
830, -0.028646, 10.394942, 17, 1, 17, 0
840, -0.041667, 10.394380, 13, 1, 13, 0
850, 99999.990000, 10.393624, 0, 1, 0, 0
860, 0.009115, 10.392715, 6, 1, 6, 0
870, -0.001302, 10.391671, 21, 1, 21, 0
880, -0.011719, 10.390516, 21, 1, 21, 0
890, -0.041667, 10.389265, 13, 1, 13, 0
900, 99999.990000, 10.387939, 0, 1, 0, 0
910, 0.006510, 10.386572, 8, 1, 8, 0
920, -0.003906, 10.385181, 21, 1, 21, 0
930, -0.014323, 10.383795, 21, 1, 21, 0
940, -0.041667, 10.382438, 13, 1, 13, 0
950, 99999.990000, 10.381127, 0, 1, 0, 0
960, 0.010417, 10.379884, 5, 1, 5, 0
970, 0.014323, 10.378733, 10, 1, 10, 0
980, 0.003906, 10.377690, 21, 1, 21, 0
990, -0.016927, 10.376762, 21, 1, 21, 0
1000, -0.031250, 10.375951, 21, 1, 21, 0
1010, -0.031250, 10.375264, 21, 1, 21, 0
1020, -0.035156, 10.374753, 18, 1, 18, 0
1030, -0.040365, 10.374375, 17, 1, 17, 0
1040, -0.046875, 10.374109, 16, 1, 16, 0
1050, -0.049479, 10.373916, 16, 1, 16, 0
