time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, -0.006510, 11.683603, 18, 1, 18, 0
20, -0.013021, 11.686339, 18, 1, 18, 0
30, 99999.990000, 11.689466, 0, 1, 0, 0
40, -0.006510, 11.693455, 18, 1, 18, 0
50, -0.013021, 11.698446, 14, 2, 7, 7
60, 99999.990000, 11.704158, 0, 2, 0, 0
70, -0.006510, 11.710344, 18, 1, 18, 0
80, -0.012520, 11.716785, 13, 2, 7, 6
90, 99999.990000, 11.723305, 0, 2, 0, 0
100, -0.005208, 11.729764, 3, 1, 3, 0
110, -0.011719, 11.736057, 18, 1, 18, 0
120, -0.018229, 11.742114, 18, 1, 18, 0
130, -0.019531, 11.747895, 18, 1, 18, 0
140, -0.018229, 11.753387, 19, 1, 19, 0
150, -0.016927, 11.758595, 19, 1, 19, 0
160, -0.014323, 11.763490, 18, 1, 18, 0
170, -0.013021, 11.768164, 18, 1, 18, 0
180, -0.011719, 11.772667, 18, 1, 18, 0
190, -0.011719, 11.777045, 18, 1, 18, 0
200, -0.011719, 11.781346, 18, 1, 18, 0
210, -0.015104, 11.785625, 10, 2, 9, 1
220, -0.016406, 11.789919, 1, 1, 1, 0
230, 99999.990000, 11.794257, 0, 1, 0, 0
240, 99999.990000, 11.798670, 0, 1, 0, 0
250, 99999.990000, 11.803186, 0, 1, 0, 0
260, 99999.990000, 11.807827, 0, 1, 0, 0
270, 99999.990000, 11.812609, 0, 1, 0, 0
280, 99999.990000, 11.817543, 0, 1, 0, 0
290, 99999.990000, 11.822638, 0, 1, 0, 0
300, 0.014323, 11.827895, 4, 1, 4, 0
310, 0.010417, 11.833315, 10, 2, 5, 5
320, 0.008523, 11.838895, 11, 2, 6, 5
330, -0.005800, 11.844631, 12, 2, 7, 5
340, -0.001894, 11.850516, 12, 2, 7, 5
350, 0.000781, 11.856542, 10, 2, 6, 4
360, 0.002734, 11.862701, 8, 2, 5, 3
370, 0.019661, 11.868989, 4, 1, 4, 0
380, 0.038411, 11.875395, 2, 1, 2, 0
390, 99999.990000, 11.881914, 0, 1, 0, 0
400, 99999.990000, 11.888537, 0, 1, 0, 0
410, 99999.990000, 11.895258, 0, 1, 0, 0
420, 99999.990000, 11.902072, 0, 1, 0, 0
430, 99999.990000, 11.908975, 0, 1, 0, 0
440, 99999.990000, 11.915963, 0, 1, 0, 0
450, 99999.990000, 11.923036, 0, 1, 0, 0
460, 99999.990000, 11.930190, 0, 1, 0, 0
470, 99999.990000, 11.937426, 0, 1, 0, 0
480, 99999.990000, 11.944743, 0, 1, 0, 0
490, 99999.990000, 11.952142, 0, 1, 0, 0
500, 99999.990000, 11.959626, 0, 1, 0, 0
510, 99999.990000, 11.967193, 0, 1, 0, 0
520, 99999.990000, 11.974845, 0, 1, 0, 0
530, 99999.990000, 11.982585, 0, 1, 0, 0
540, 99999.990000, 11.990416, 0, 1, 0, 0
550, 99999.990000, 11.998338, 0, 1, 0, 0
560, 0.011719, 12.006349, 4, 1, 4, 0
570, 0.022135, 12.014456, 5, 1, 5, 0
580, 0.015033, 12.022655, 11, 2, 6, 5
590, -0.005800, 12.030949, 14, 2, 7, 7
600, -0.025331, 12.039338, 16, 2, 8, 8
610, -0.027344, 12.047819, 18, 1, 18, 0
620, -0.028646, 12.056386, 17, 1, 17, 0
630, -0.029948, 12.065045, 17, 1, 17, 0
640, -0.031250, 12.073797, 17, 1, 17, 0
650, -0.031250, 12.082649, 17, 1, 17, 0
660, -0.032552, 12.091597, 18, 1, 18, 0
670, -0.035019, 12.100645, 19, 2, 18, 1
680, -0.036321, 12.109792, 18, 1, 18, 0
690, -0.036321, 12.119040, 18, 1, 18, 0
700, -0.036458, 12.128384, 17, 1, 17, 0
710, -0.037760, 12.137824, 17, 1, 17, 0
720, -0.039062, 12.147356, 17, 1, 17, 0
730, -0.039062, 12.156869, 17, 1, 17, 0
740, -0.039062, 12.165893, 17, 1, 17, 0
750, -0.039062, 12.174024, 17, 1, 17, 0
760, -0.039062, 12.180966, 17, 1, 17, 0
770, -0.041319, 12.186471, 15, 2, 14, 1
780, -0.047830, 12.190543, 12, 1, 12, 0
790, -0.055642, 12.193238, 11, 1, 11, 0
800, -0.065104, 12.194792, 6, 2, 3, 3
810, 99999.990000, 12.195524, 0, 2, 0, 0
820, 99999.990000, 12.195691, 0, 2, 0, 0
830, 99999.990000, 12.195480, 0, 2, 0, 0
840, 0.003906, 12.195003, 4, 1, 4, 0
850, -0.010417, 12.194327, 18, 1, 18, 0
860, -0.023438, 12.193479, 17, 1, 17, 0
870, -0.049479, 12.192476, 10, 1, 10, 0
880, 99999.990000, 12.191332, 0, 1, 0, 0
890, 99999.990000, 12.190068, 0, 1, 0, 0
900, -0.013021, 12.188709, 17, 1, 17, 0
910, -0.026042, 12.187297, 17, 1, 17, 0
920, -0.048177, 12.185857, 10, 1, 10, 0
930, 99999.990000, 12.184417, 0, 1, 0, 0
940, 99999.990000, 12.183002, 0, 1, 0, 0
950, 0.002604, 12.181639, 7, 1, 7, 0
960, -0.009115, 12.180358, 18, 1, 18, 0
970, -0.020833, 12.179173, 18, 1, 18, 0
980, -0.033854, 12.178097, 17, 1, 17, 0
990, -0.039062, 12.177139, 12, 1, 12, 0
1000, -0.045139, 12.176310, 6, 2, 4, 2
1010, 99999.990000, 12.175639, 0, 2, 0, 0
1020, 99999.990000, 12.175129, 0, 2, 0, 0
1030, 99999.990000, 12.174727, 0, 2, 0, 0
1040, 99999.990000, 12.174419, 0, 2, 0, 0
1050, 99999.990000, 12.174236, 0, 2, 0, 0
1060, 99999.990000, 12.174175, 0, 2, 0, 0
1070, 99999.990000, 12.174229, 0, 2, 0, 0
1080, -0.015625, 12.174390, 3, 2, 2, 1
1090, -0.032552, 12.174651, 10, 1, 10, 0
1100, -0.045573, 12.175000, 13, 1, 13, 0
1110, -0.037760, 12.175426, 17, 1, 17, 0
1120, -0.028646, 12.175951, 17, 1, 17, 0
1130, -0.023438, 12.176558, 17, 1, 17, 0
1140, -0.023438, 12.177214, 17, 1, 17, 0
1150, -0.023438, 12.177906, 17, 1, 17, 0
1160, -0.023438, 12.178624, 17, 1, 17, 0
1170, -0.006510, 12.179357, 6, 1, 6, 0
1180, 99999.990000, 12.180096, 0, 1, 0, 0
1190, 99999.990000, 12.180829, 0, 1, 0, 0
1200, 99999.990000, 12.181551, 0, 1, 0, 0
1210, 99999.990000, 12.182252, 0, 1, 0, 0
1220, 99999.990000, 12.182926, 0, 1, 0, 0
1230, 99999.990000, 12.183569, 0, 1, 0, 0
1240, 99999.990000, 12.184177, 0, 1, 0, 0
1250, 99999.990000, 12.184768, 0, 1, 0, 0
1260, 99999.990000, 12.185318, 0, 1, 0, 0
1270, 99999.990000, 12.185825, 0, 1, 0, 0
1280, 99999.990000, 12.186290, 0, 1, 0, 0
1290, 99999.990000, 12.186690, 0, 1, 0, 0
1300, 99999.990000, 12.187036, 0, 1, 0, 0
1310, 99999.990000, 12.187345, 0, 1, 0, 0
1320, 99999.990000, 12.187617, 0, 1, 0, 0
1330, 99999.990000, 12.187855, 0, 1, 0, 0
1340, 99999.990000, 12.188062, 0, 1, 0, 0
1350, 99999.990000, 12.188242, 0, 1, 0, 0
1360, -0.031250, 12.188398, 1, 1, 1, 0
1370, 99999.990000, 12.188531, 0, 1, 0, 0
1380, 99999.990000, 12.188640, 0, 1, 0, 0
1390, 99999.990000, 12.188727, 0, 1, 0, 0
1400, 99999.990000, 12.188795, 0, 1, 0, 0
1410, 99999.990000, 12.188849, 0, 1, 0, 0
1420, 99999.990000, 12.188891, 0, 1, 0, 0
1430, 99999.990000, 12.188926, 0, 1, 0, 0
1440, 99999.990000, 12.188954, 0, 1, 0, 0
1450, 99999.990000, 12.188978, 0, 1, 0, 0
1460, 99999.990000, 12.188982, 0, 1, 0, 0
1470, 99999.990000, 12.188987, 0, 1, 0, 0
1480, 99999.990000, 12.188996, 0, 1, 0, 0
1490, 99999.990000, 12.189009, 0, 1, 0, 0
1500, 99999.990000, 12.189008, 0, 1, 0, 0
1510, 99999.990000, 12.189010, 0, 1, 0, 0
1520, 99999.990000, 12.189019, 0, 1, 0, 0
1530, 99999.990000, 12.189036, 0, 1, 0, 0
1540, 99999.990000, 12.189061, 0, 1, 0, 0
1550, 99999.990000, 12.189104, 0, 1, 0, 0
1560, 99999.990000, 12.189173, 0, 1, 0, 0
1570, 99999.990000, 12.189252, 0, 1, 0, 0
1580, 99999.990000, 12.189340, 0, 1, 0, 0
1590, 99999.990000, 12.189435, 0, 1, 0, 0
1600, 99999.990000, 12.189538, 0, 1, 0, 0
1610, 99999.990000, 12.189646, 0, 1, 0, 0
1620, 99999.990000, 12.189759, 0, 1, 0, 0
1630, 99999.990000, 12.189876, 0, 1, 0, 0
1640, 99999.990000, 12.189998, 0, 1, 0, 0
1650, 99999.990000, 12.190121, 0, 1, 0, 0
1660, 99999.990000, 12.190247, 0, 1, 0, 0
1670, 99999.990000, 12.190372, 0, 1, 0, 0
1680, 99999.990000, 12.190498, 0, 1, 0, 0
