time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, -0.019531, 9.701740, 14, 1, 14, 0
20, -0.028646, 9.701786, 22, 1, 22, 0
30, -0.036458, 9.702052, 23, 1, 23, 0
40, -0.001302, 9.702682, 5, 1, 5, 0
50, -0.009115, 9.704044, 16, 1, 16, 0
60, -0.009115, 9.705865, 23, 1, 23, 0
70, -0.061198, 9.707879, 1, 1, 1, 0
80, -0.052083, 9.709924, 23, 1, 23, 0
90, -0.035156, 9.711870, 10, 1, 10, 0
100, -0.022656, 9.713622, 5, 2, 3, 2
110, -0.027865, 9.715112, 19, 1, 19, 0
120, -0.044792, 9.716298, 23, 1, 23, 0
130, -0.013021, 9.717157, 11, 1, 11, 0
140, 0.013021, 9.717684, 7, 1, 7, 0
150, 0.037760, 9.717904, 4, 1, 4, 0
160, 0.049479, 9.717841, 2, 1, 2, 0
170, 0.057292, 9.717534, 1, 1, 1, 0
180, 0.058594, 9.717020, 1, 1, 1, 0
190, 0.055990, 9.716344, 2, 1, 2, 0
200, 0.049479, 9.715543, 4, 1, 4, 0
210, 0.042969, 9.714654, 6, 1, 6, 0
220, 0.035156, 9.713710, 8, 1, 8, 0
230, 0.027344, 9.712740, 10, 1, 10, 0
240, 0.014323, 9.711769, 16, 1, 16, 0
250, -0.005208, 9.710818, 23, 1, 23, 0
260, -0.024740, 9.709902, 23, 1, 23, 0
270, -0.036458, 9.709031, 23, 1, 23, 0
280, -0.039062, 9.708212, 23, 1, 23, 0
290, -0.039062, 9.707450, 23, 1, 23, 0
300, -0.039062, 9.706744, 23, 1, 23, 0
310, -0.039062, 9.706097, 23, 1, 23, 0
320, -0.039062, 9.705506, 23, 1, 23, 0
330, -0.039062, 9.704965, 23, 1, 23, 0
340, -0.039062, 9.704469, 23, 1, 23, 0
350, -0.041667, 9.704012, 23, 1, 23, 0
360, -0.044271, 9.703591, 23, 1, 23, 0
370, -0.046875, 9.703198, 23, 1, 23, 0
380, -0.046875, 9.702827, 23, 1, 23, 0
390, -0.046875, 9.702473, 23, 1, 23, 0
400, -0.046875, 9.702124, 23, 1, 23, 0
410, -0.046875, 9.701776, 23, 1, 23, 0
420, -0.045573, 9.701425, 22, 1, 22, 0
430, -0.042969, 9.701071, 19, 1, 19, 0
440, -0.037760, 9.700716, 17, 1, 17, 0
450, -0.026042, 9.700357, 11, 1, 11, 0
460, -0.015625, 9.699995, 11, 1, 11, 0
470, -0.007812, 9.699629, 11, 1, 11, 0
480, -0.007812, 9.699263, 11, 1, 11, 0
490, -0.006510, 9.698896, 10, 1, 10, 0
500, -0.006510, 9.698520, 9, 1, 9, 0
510, -0.006510, 9.698142, 9, 1, 9, 0
520, -0.009115, 9.697760, 10, 1, 10, 0
530, -0.010417, 9.697374, 10, 1, 10, 0
540, -0.011719, 9.696984, 10, 1, 10, 0
550, -0.011719, 9.696592, 10, 1, 10, 0
560, -0.013021, 9.696196, 9, 1, 9, 0
570, -0.014323, 9.695798, 9, 1, 9, 0
580, -0.016927, 9.695398, 10, 1, 10, 0
590, -0.018229, 9.694997, 10, 1, 10, 0
600, -0.019531, 9.694592, 10, 1, 10, 0
610, -0.019531, 9.694182, 10, 1, 10, 0
620, -0.020833, 9.693766, 11, 1, 11, 0
630, -0.022135, 9.693346, 11, 1, 11, 0
640, -0.024740, 9.692918, 10, 1, 10, 0
650, -0.026042, 9.692490, 10, 1, 10, 0
660, -0.027344, 9.692049, 10, 1, 10, 0
670, -0.028646, 9.691600, 11, 1, 11, 0
680, -0.029948, 9.691149, 11, 1, 11, 0
690, -0.031250, 9.690705, 11, 1, 11, 0
700, -0.031250, 9.690266, 11, 1, 11, 0
710, -0.031250, 9.689827, 11, 1, 11, 0
720, -0.031250, 9.689396, 11, 1, 11, 0
730, -0.031250, 9.688872, 11, 1, 11, 0
740, -0.044010, 9.688196, 20, 2, 12, 8
750, -0.060937, 9.687375, 24, 1, 24, 0
760, -0.077865, 9.686408, 24, 1, 24, 0
770, -0.082031, 9.685250, 24, 1, 24, 0
780, -0.088542, 9.683940, 19, 1, 19, 0
790, -0.098958, 9.682474, 6, 2, 4, 2
800, -0.074219, 9.680878, 5, 1, 5, 0
810, -0.066406, 9.679184, 23, 1, 23, 0
820, -0.054688, 9.677410, 23, 1, 23, 0
830, -0.088542, 9.675615, 15, 1, 15, 0
840, -0.059896, 9.673846, 1, 1, 1, 0
850, -0.059896, 9.672090, 22, 2, 11, 11
860, -0.049479, 9.670359, 23, 1, 23, 0
870, -0.083333, 9.668447, 19, 1, 19, 0
880, 99999.990000, 9.666505, 0, 1, 0, 0
890, -0.001302, 9.664729, 6, 1, 6, 0
900, -0.024740, 9.663190, 23, 1, 23, 0
910, -0.048177, 9.662005, 23, 1, 23, 0
920, -0.070312, 9.660940, 23, 1, 23, 0
