time,ego_x,ego_y,ego_heading,ego_vel_lin,ego_vel_lin_x,ego_vel_lin_y,ego_vel_ang_x,ego_vel_ang_y,lead_x,lead_y,lead_heading,lead_vel_lin,lead_vel_lin_x,lead_vel_lin_y,lead_vel_ang_x,lead_vel_ang_y,distance_true,direction,ob_color_1,ob_color_2,ob_color_3,color_dist_from_black,dist_obst_follower,dist_obst_lead,ob_pos_x,ob_pos_y,gamma
10,-63.79258025683271,-104.06351835231986,0.0867128565660664,0.26548420260616257,0.2577982808703094,0.06341851633192805,-0.03587228825370792,-0.06056789193452711,-55.12254465748109,-104.46978841815576,-0.04383272976994555,0.22362118458046276,0.22290666686302502,0.017862028473434623,-0.050188068348125184,-0.12238695306008363,8.67954910467235,R,0.5,0.0,0.0,0.5,139.2720546680426,131.39490542181434,65.88888888888889,-53.275510204081634,3.6795491046723505
20,-63.78796175616641,-104.06291942537263,0.08685636874265526,0.4568928125487074,0.4497153733708965,0.08066675345235752,-0.0223033552309593,-0.10450113424990037,-55.117949582101595,-104.46977565720933,-0.04377374998366092,0.4430882428796564,0.44290729046509725,0.012661873125544499,-0.03712149246906596,-0.1624426046089304,8.679553161990338,R,0.5,0.0,0.0,0.5,139.2675358029676,131.39066851199777,65.88888888888889,-53.275510204081634,3.679553161990338
30,-63.7810051295926,-104.06214714820905,0.08699886741493472,0.685537854738774,0.6786871108954633,0.09667448362525417,-0.010598970952550473,-0.15026744131556385,-55.110849765358026,-104.4698897989602,-0.04369030668169859,0.6890290006632148,0.6890250261388642,0.0023403224747961613,-0.028841822674649773,-0.20098544153358713,8.679737790348689,R,0.5,0.0,0.0,0.5,139.2607766273721,131.38417430002966,65.88888888888889,-53.275510204081634,3.679737790348689
40,-63.77167296822018,-104.06120521399261,0.08713065053695151,0.9186651108522419,0.9119035412531482,0.11125429136500634,-0.0010550271588635664,-0.1897753584046531,-55.10127302313614,-104.47014702581868,-0.04359073191871243,0.9329416442167864,0.9328830810054358,-0.010453166397142874,-0.02274064467262116,-0.2316839116287211,8.680038514498248,R,0.5,0.0,0.0,0.5,139.25174368294603,131.3754547805928,65.88888888888889,-53.275510204081634,3.680038514498248
50,-63.759487246558436,-104.06003539486446,0.08718902749101802,1.1994249891264173,1.1930309804758008,0.12368259443371768,0.006957115263250517,-0.23212204985616594,-55.08968338837031,-104.47054982690796,-0.04347575941006811,1.1321729981478572,1.1319309657109304,-0.02340911360620794,-0.01844866549965544,-0.2459747057686087,8.679517327499825,R,0.5,0.0,0.0,0.5,139.23997067441405,131.36493836723247,65.88888888888889,-53.275510204081634,3.679517327499825
60,-63.744938241522114,-104.0586845252227,0.08722153917411067,1.4329067227740622,1.4262838238777693,0.13760861134286353,0.014460552557182468,-0.25596457711794807,-55.07649277292671,-104.47107241198059,-0.04335579937676653,1.2916955888488941,1.2912170883367442,-0.035155725548935896,-0.013999065178803186,-0.24643575970344628,8.678249282612063,R,0.5,0.0,0.0,0.5,139.2259312434601,131.3529944476774,65.88888888888889,-53.275510204081634,3.6782492826120627
70,-63.72852260551871,-104.05720276360529,0.08727134074058296,1.6182383929882842,1.6110617244246281,0.15223539875879116,0.02055658634613376,-0.26319039330655747,-55.06203355067443,-104.47168594061107,-0.043244131093386484,1.4192611588046078,1.418522753229877,-0.04577592664848174,-0.009267790021402626,-0.2358218492161484,8.676394921956732,R,0.5,0.0,0.0,0.5,139.21010617667298,131.33991795728693,65.88888888888889,-53.275510204081634,3.6763949219567316
80,-63.71065599897009,-104.05562216386747,0.08734834062587057,1.7634516856438511,1.7557055626893443,0.1651054957953647,0.025102797762381147,-0.2567695577838245,-55.046561126192444,-104.47236725067094,-0.043152182643813514,1.5223727311706765,1.5213581757647592,-0.05557007869158917,-0.004550091690304467,-0.21681220097159326,8.674111852625993,R,0.5,0.0,0.0,0.5,139.19289423597942,131.32593514534415,65.88888888888889,-53.275510204081634,3.674111852625993
90,-63.691665818696784,-104.05397650543411,0.08747623804754089,1.8771376203335277,1.8686932785851627,0.1778512756267294,0.027942033314316,-0.23976604069568294,-55.0302588311867,-104.47309998733023,-0.04308826516542724,1.6080213701382944,1.6067157381123576,-0.06478629271303778,-0.00013553189333115074,-0.19191816605688414,8.671541702394403,R,0.5,0.0,0.0,0.5,139.1746126211357,131.31120852754063,65.88888888888889,-53.275510204081634,3.6715417023944035
100,-63.67180440661251,-104.05227621554121,0.08761064911286705,1.966708656158017,1.9580708748861466,0.18412329328325994,0.028091125129328678,-0.2150563778304983,-55.01324435107339,-104.47387366762757,-0.043057255989786374,1.68253442550841,1.6809261838189828,-0.07354765511330937,0.003795125678356186,-0.16340976362484602,8.668818065168015,R,0.5,0.0,0.0,0.5,139.1555001205252,131.2958424449112,65.88888888888889,-53.275510204081634,3.668818065168015
