time,yellow_line_angle
10, -0.014453
20, -0.028409
30, -0.042370
40, -0.040612
50, -0.039889
60, -0.038412
70, -0.037948
80, -0.035764
90, -0.034478
100, -0.032198
110, -0.031027
120, -0.028799
130, -0.027393
140, -0.026257
150, -0.025679
160, -0.024560
170, -0.023029
180, -0.021732
190, -0.020322
200, -0.019091
210, -0.016858
220, -0.016146
230, -0.014165
240, -0.012082
250, -0.009960
260, -0.008100
270, -0.007461
280, -0.005146
290, -0.003636
300, -0.001032
310, 0.000953
320, 0.003287
330, 0.005606
340, 0.007895
350, 0.010810
360, 0.013978
370, 0.016883
380, 0.019626
390, 0.021845
400, 0.024550
410, 0.027789
420, 0.030499
430, 0.033668
440, 0.036587
450, 0.040493
460, 0.042857
470, 0.044867
480, 0.047290
490, 0.050413
500, 0.053110
510, 0.055131
520, 0.057549
530, 0.060432
540, 0.062999
550, 0.064997
560, 0.067323
570, 0.069059
580, 0.071339
590, 0.072641
600, 0.074247
610, 0.075817
620, 0.077921
630, 0.079907
640, 0.081940
650, 0.083165
660, 0.084797
670, 0.085581
680, 0.086368
690, 0.086934
700, 0.087844
710, 0.089839
720, 0.091981
730, 0.093663
740, 0.094342
750, 0.094777
760, 0.095305
770, 0.095651
780, 0.095417
790, 0.095274
800, 0.095131
810, 0.095087
820, 0.094894
830, 0.094238
840, 0.094225
850, 0.094022
860, 0.094286
870, 0.093675
880, 0.093746
890, 0.093374
900, 0.093415
910, 0.093194
920, 0.093415
930, 0.093686
940, 0.094141
950, 0.094270
960, 0.093798
970, 0.092691
980, 0.091631
990, 0.091216
1000, 0.090695
1010, 0.090018
1020, 0.089062
1030, 0.088411
1040, 0.087743
1050, 0.087132
1060, 0.086611
1070, 0.085899
1080, 0.084866
1090, 0.083658
1100, 0.082554
1110, 0.081406
1120, 0.080465
1130, 0.079677
1140, 0.079188
1150, 0.078862
1160, 0.078682
1170, 0.078001
1180, 0.076127
1190, 0.073710
1200, 0.071843
1210, 0.070392
1220, 0.069939
1230, 0.068263
1240, 0.066867
1250, 0.065055
1260, 0.064299
1270, 0.063410
1280, 0.062882
1290, 0.060873
1300, 0.058974
1310, 0.056822
1320, 0.055927
1330, 0.055296
1340, 0.053151
1350, 0.050638
1360, 0.047957
1370, 0.046782
1380, 0.045776
1390, 0.044551
1400, 0.042047
1410, 0.039979
1420, 0.038504
1430, 0.037280
1440, 0.035219
