time,yellow_line_angle
3660, -0.007291
3670, -0.006948
3680, -0.006621
3690, -0.006431
3700, -0.006202
3710, -0.006175
3720, -0.006233
3730, -0.006348
3740, -0.006408
3750, -0.006600
3760, -0.006690
3770, -0.006974
3780, -0.007041
3790, -0.007235
3800, -0.007319
3810, -0.007742
3820, -0.007913
3830, -0.007910
3840, -0.007334
3850, -0.006879
3860, -0.006172
3870, -0.005619
3880, -0.005039
3890, -0.004712
3900, -0.004640
3910, -0.004816
3920, -0.004816
3930, -0.004863
3940, -0.004911
3950, -0.005134
3960, -0.005506
3970, -0.005748
3980, -0.005917
3990, -0.005715
4000, -0.005269
4010, -0.004896
4020, -0.004523
4030, -0.004353
4040, -0.004292
4050, -0.004121
4060, -0.004121
4070, -0.003716
4080, -0.003528
4090, -0.003339
4100, -0.003560
4110, -0.003795
4120, -0.003813
4130, -0.003593
4140, -0.003139
4150, -0.003139
4160, -0.003028
4170, -0.002705
4180, -0.002256
4190, -0.002166
4200, -0.002190
4210, -0.002008
4220, -0.001704
4230, -0.001891
4240, -0.002078
4250, -0.002155
4260, -0.001747
4270, -0.001235
4280, -0.000833
4290, -0.000422
4300, -0.000074
4310, 0.000070
4320, 0.000004
4330, -0.000264
4340, -0.000127
4350, -0.000060
4360, 0.000141
4370, -0.000070
4380, 0.000002
4390, -0.000350
4400, -0.000076
4410, 0.000047
4420, 0.000577
4430, 0.000691
4440, 0.000733
4450, 0.000919
4460, 0.000804
4470, 0.000633
4480, 0.000541
4490, 0.000929
4500, 0.001298
4510, 0.001025
4520, 0.000649
4530, 0.000364
4540, 0.000221
4550, -0.000430
4560, -0.000579
4570, -0.000640
4580, -0.000007
4590, 0.000194
4600, 0.000197
4610, -0.000331
4620, -0.000594
4630, -0.000598
4640, -0.000267
4650, -0.000134
4660, -0.000137
4670, -0.000139
4680, -0.000293
4690, -0.000551
4700, -0.000885
4710, -0.001173
4720, -0.001349
4730, -0.001289
4740, -0.001545
4750, -0.002115
4760, -0.002636
4770, -0.003483
4780, -0.003971
4790, -0.004635
4800, -0.004245
4810, -0.003847
4820, -0.003617
4830, -0.004774
4840, -0.005536
4850, -0.006358
4860, -0.006298
4870, -0.007134
4880, -0.007690
4890, -0.008784
4900, -0.009380
4910, -0.010069
4920, -0.010153
4930, -0.010439
4940, -0.011101
4950, -0.012136
4960, -0.013189
4970, -0.014588
4980, -0.015268
4990, -0.016221
5000, -0.016820
5010, -0.017365
5020, -0.017126
5030, -0.017027
5040, -0.017458
5050, -0.018287
5060, -0.018432
5070, -0.019192
5080, -0.019433
5090, -0.020895
5100, -0.021263
5110, -0.021896
5120, -0.022869
5130, -0.024226
5140, -0.025423
5150, -0.025643
5160, -0.026333
5170, -0.027556
5180, -0.028274
5190, -0.028848
5200, -0.029947
5210, -0.030698
5220, -0.031931
5230, -0.032840
5240, -0.034465
5250, -0.036018
5260, -0.037070
5270, -0.038956
5280, -0.040539
5290, -0.042006
5300, -0.042525
5310, -0.043185
5320, -0.044852
5330, -0.046630
5340, -0.047978
5350, -0.049574
5360, -0.051796
5370, -0.053771
5380, -0.055190
5390, -0.055584
5400, -0.057209
5410, -0.057897
5420, -0.059958
5430, -0.060716
5440, -0.062216
5450, -0.063035
5460, -0.064634
5470, -0.066063
5480, -0.067857
5490, -0.069085
5500, -0.070480
5510, -0.071588
5520, -0.072582
5530, -0.073935
5540, -0.074862
5550, -0.076621
5560, -0.077996
5570, -0.079691
5580, -0.081551
5590, -0.082607
5600, -0.084916
5610, -0.086318
5620, -0.088367
5630, -0.088980
5640, -0.090936
5650, -0.092776
5660, -0.094450
5670, -0.095379
5680, -0.096582
5690, -0.097218
5700, -0.097783
5710, -0.098666
5720, -0.101131
5730, -0.102636
5740, -0.102829
5750, -0.101824
5760, -0.102166
5770, -0.103984
5780, -0.105560
5790, -0.106691
5800, -0.107011
5810, -0.108103
5820, -0.108287
5830, -0.109197
5840, -0.109513
5850, -0.111086
5860, -0.111881
5870, -0.112734
5880, -0.112859
5890, -0.112898
5900, -0.112620
5910, -0.112580
5920, -0.113093
5930, -0.114802
5940, -0.116067
5950, -0.117396
5960, -0.117552
5970, -0.118016
5980, -0.118578
5990, -0.120337
6000, -0.122549
6010, -0.123934
6020, -0.124700
6030, -0.125014
6040, -0.125237
6050, -0.125448
6060, -0.124981
6070, -0.124981
6080, -0.124976
6090, -0.125628
6100, -0.125777
6110, -0.125641
6120, -0.124922
6130, -0.124556
6140, -0.124124
6150, -0.125072
6160, -0.125495
6170, -0.126146
6180, -0.126363
6190, -0.126861
6200, -0.127628
6210, -0.127628
6220, -0.127458
6230, -0.127317
6240, -0.127435
6250, -0.126760
6260, -0.125101
6270, -0.123297
6280, -0.123065
6290, -0.123494
6300, -0.123717
6310, -0.123800
6320, -0.123359
6330, -0.123222
6340, -0.122385
6350, -0.121728
6360, -0.120699
6370, -0.120140
6380, -0.119840
6390, -0.119842
6400, -0.119524
6410, -0.119234
6420, -0.118458
6430, -0.117456
6440, -0.115921
6450, -0.114687
6460, -0.112976
6470, -0.112472
6480, -0.111405
6490, -0.110419
6500, -0.109117
6510, -0.107580
6520, -0.105539
6530, -0.102995
6540, -0.100710
6550, -0.099265
6560, -0.097274
6570, -0.096659
