time,yellow_line_angle
10, -0.031994
20, -0.063943
30, -0.096104
40, -0.096249
50, -0.096057
60, -0.095815
70, -0.095100
80, -0.094863
90, -0.094019
100, -0.094025
110, -0.093467
120, -0.093640
130, -0.093561
140, -0.093950
150, -0.093850
160, -0.093542
170, -0.093233
180, -0.093125
190, -0.093333
200, -0.093542
210, -0.093750
220, -0.093750
230, -0.093950
240, -0.094433
250, -0.094805
260, -0.095053
270, -0.094831
280, -0.094908
290, -0.094738
300, -0.094864
310, -0.094715
320, -0.094737
330, -0.094559
340, -0.094467
350, -0.093958
360, -0.093349
370, -0.092948
380, -0.092964
390, -0.093457
400, -0.093743
410, -0.094116
420, -0.094292
430, -0.094385
440, -0.094298
450, -0.094133
460, -0.093754
470, -0.093196
480, -0.092691
490, -0.092155
500, -0.091656
510, -0.090754
520, -0.089580
530, -0.087941
540, -0.086939
550, -0.086351
560, -0.085700
570, -0.084358
580, -0.082726
590, -0.081737
600, -0.080175
610, -0.079307
620, -0.077210
630, -0.075808
640, -0.073988
650, -0.072724
660, -0.071409
670, -0.069443
680, -0.067650
690, -0.065659
700, -0.063694
710, -0.062350
720, -0.060655
730, -0.059245
740, -0.056966
750, -0.054727
760, -0.052867
770, -0.050154
780, -0.047896
790, -0.046091
800, -0.045298
810, -0.044164
820, -0.041837
830, -0.040134
840, -0.038138
850, -0.036535
860, -0.034213
870, -0.032914
880, -0.031370
890, -0.030003
900, -0.027404
910, -0.025895
920, -0.024108
930, -0.022298
940, -0.019464
950, -0.017728
960, -0.016030
970, -0.013737
980, -0.010904
990, -0.009101
1000, -0.006924
1010, -0.004415
1020, -0.001611
1030, -0.000467
1040, 0.001716
1050, 0.004120
1060, 0.006656
1070, 0.008213
1080, 0.009938
1090, 0.012131
1100, 0.013791
1110, 0.014801
1120, 0.015364
1130, 0.016357
1140, 0.018189
1150, 0.020114
1160, 0.021799
1170, 0.022368
1180, 0.022891
1190, 0.023091
1200, 0.023825
1210, 0.024923
1220, 0.025870
1230, 0.026857
1240, 0.027047
1250, 0.027662
1260, 0.028168
1270, 0.029098
1280, 0.029767
1290, 0.030103
1300, 0.030273
1310, 0.030645
1320, 0.031184
1330, 0.031641
1340, 0.031731
1350, 0.031589
1360, 0.032261
1370, 0.033355
1380, 0.034457
1390, 0.035408
1400, 0.035689
1410, 0.035970
1420, 0.035645
1430, 0.035726
1440, 0.035773
1450, 0.035820
1460, 0.035663
1470, 0.035540
1480, 0.035644
1490, 0.035644
1500, 0.035644
1510, 0.035204
1520, 0.034991
1530, 0.034707
1540, 0.034636
1550, 0.034608
1560, 0.034346
1570, 0.033875
1580, 0.033359
1590, 0.032670
1600, 0.032334
1610, 0.032193
1620, 0.032674
1630, 0.032599
1640, 0.032740
1650, 0.032881
1660, 0.033274
1670, 0.033242
1680, 0.033166
1690, 0.033151
1700, 0.033183
1710, 0.032964
1720, 0.032637
1730, 0.032278
1740, 0.032009
1750, 0.031735
1760, 0.031316
1770, 0.031105
1780, 0.030542
1790, 0.029530
1800, 0.028116
1810, 0.027265
1820, 0.026614
1830, 0.025945
1840, 0.025333
1850, 0.024997
1860, 0.024949
1870, 0.025004
1880, 0.025123
1890, 0.025170
1900, 0.025116
1910, 0.024057
1920, 0.023194
1930, 0.021724
1940, 0.021191
1950, 0.020369
1960, 0.019571
1970, 0.018745
1980, 0.018225
1990, 0.018124
2000, 0.018534
2010, 0.018136
2020, 0.017771
2030, 0.016135
2040, 0.015242
2050, 0.013925
2060, 0.012858
2070, 0.011634
2080, 0.011200
2090, 0.011551
2100, 0.011803
2110, 0.011937
2120, 0.011062
2130, 0.010371
2140, 0.008786
2150, 0.007872
2160, 0.006814
2170, 0.005549
2180, 0.004455
2190, 0.003235
2200, 0.003304
2210, 0.002734
2220, 0.002417
2230, 0.001569
2240, 0.000925
2250, 0.000222
2260, -0.000943
2270, -0.002215
2280, -0.003599
2290, -0.004407
2300, -0.004715
2310, -0.004871
2320, -0.005262
2330, -0.006010
2340, -0.006676
2350, -0.006893
2360, -0.006893
2370, -0.006842
2380, -0.007276
2390, -0.007682
2400, -0.007944
2410, -0.007881
2420, -0.007495
2430, -0.007358
2440, -0.007696
2450, -0.008031
2460, -0.008376
2470, -0.008608
2480, -0.009115
2490, -0.009621
2500, -0.010055
2510, -0.010344
2520, -0.010512
2530, -0.010390
2540, -0.010445
2550, -0.010622
2560, -0.010862
2570, -0.010862
2580, -0.011050
2590, -0.011108
2600, -0.011414
2610, -0.011421
2620, -0.011318
2630, -0.010935
2640, -0.011046
2650, -0.011336
2660, -0.011533
2670, -0.011243
2680, -0.010856
2690, -0.010753
2700, -0.010659
2710, -0.010712
2720, -0.010771
2730, -0.010924
2740, -0.011015
2750, -0.010890
2760, -0.010764
2770, -0.010967
2780, -0.011408
2790, -0.011416
2800, -0.010807
2810, -0.010137
2820, -0.010022
2830, -0.009836
2840, -0.009378
2850, -0.008945
2860, -0.008710
2870, -0.008896
2880, -0.008850
2890, -0.008693
2900, -0.008174
2910, -0.007672
2920, -0.007740
2930, -0.007744
2940, -0.007751
2950, -0.007480
2960, -0.007419
2970, -0.007552
2980, -0.007501
2990, -0.007690
3000, -0.008000
3010, -0.008485
3020, -0.008425
3030, -0.007805
3040, -0.007307
3050, -0.007010
3060, -0.007549
3070, -0.007508
3080, -0.007508
3090, -0.007197
3100, -0.007265
3110, -0.007395
3120, -0.006924
3130, -0.006855
3140, -0.006616
3150, -0.006538
3160, -0.005932
3170, -0.005113
3180, -0.004331
3190, -0.003871
3200, -0.003795
3210, -0.003795
3220, -0.003683
3230, -0.003466
3240, -0.003041
3250, -0.002617
3260, -0.002298
3270, -0.002298
3280, -0.001685
3290, -0.001156
3300, -0.000810
3310, -0.000405
3320, 0.000252
3330, 0.001092
3340, 0.001770
3350, 0.001697
3360, 0.001816
3370, 0.001515
3380, 0.001939
3390, 0.001497
3400, 0.001204
3410, 0.000432
3420, 0.000588
3430, 0.000860
3440, 0.001096
3450, 0.001251
3460, 0.001316
3470, 0.001631
3480, 0.001777
3490, 0.001641
3500, 0.001812
3510, 0.001541
3520, 0.001728
3530, 0.001357
3540, 0.001292
3550, 0.000641
3560, 0.000362
3570, 0.000285
3580, 0.000419
3590, 0.000417
3600, 0.000348
3610, 0.000215
3620, 0.000217
3630, 0.000362
3640, 0.000289
3650, 0.000217
3660, -0.000077
3670, 0.000221
3680, 0.000503
3690, 0.001142
3700, 0.001496
3710, 0.001586
3720, 0.001312
3730, 0.001121
3740, 0.001143
3750, 0.001017
3760, 0.000864
3770, 0.000632
3780, 0.000889
3790, 0.000908
3800, 0.000982
3810, 0.000302
3820, -0.000284
3830, -0.000868
3840, -0.000692
3850, -0.000521
3860, 0.000246
3870, 0.000938
3880, 0.001501
3890, 0.001732
3900, 0.001507
3910, 0.001555
3920, 0.001265
3930, 0.001244
3940, 0.001085
