time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,3.9343101066751613e-07,15.33836675544239,nan,inf,0,0,0,0,5,3,3,1
1,0.00045783871633103726,15.33836675544239,nan,inf,0,0,0,0,4,4,1,1
2,0.00034569747002086224,15.33836675544239,1.3485823854150603,inf,0,0,0,0,3,1,3,0
3,0.0005600806191265245,15.33836675544239,1.8041138528220053,inf,0,0,0,0,3,2,2,1
4,0.0018618954947213803,15.33836675544239,2.2605484307653394,inf,0,0,0,0,4,2,4,1
5,0.0033008222682666235,15.33836675544239,2.7180181876378278,inf,0,0,0,0,3,1,3,0
6,0.006304530158813446,15.33836675544239,3.1763606768687644,inf,0,0,0,0,3,3,1,1
7,0.00801025231403392,15.33836675544239,3.633987487681099,inf,0,0,0,0,2,2,1,1
8,0.008787032599874404,15.33836675544239,4.090017216810311,inf,0,0,0,0,2,1,2,0
9,0.010055429334741947,15.33836675544239,4.547427793231332,inf,0,0,0,0,2,2,1,1
10,0.011420110158776675,15.33836675544239,5.004281199226586,inf,0,0,0,0,2,2,1,1
11,0.012719204331941476,15.33836675544239,5.460925224914639,inf,0,0,0,0,1,1,1,0
12,0.013497860554544168,15.33836675544239,5.9157248032459036,inf,0,0,0,0,1,1,1,0
13,0.014117116298811835,15.33836675544239,6.370460650284989,inf,0,0,0,0,0,0,0,0
14,0.01371798827048021,15.33836675544239,6.8245486670353674,inf,0,0,0,0,2,2,1,1
15,0.012042332719166781,15.33836675544239,7.2766821576241245,inf,0,0,0,0,0,0,0,0
16,0.009932394237426586,15.33836675544239,7.728773796006521,inf,0,0,0,0,0,0,0,0
17,0.007361807755591662,15.33836675544239,8.180873374886007,inf,0,0,0,0,0,0,0,0
18,0.0046169192556961575,15.33836675544239,8.632751558750035,inf,0,0,0,0,1,1,1,0
19,0.0017655057368788322,15.33836675544239,9.084378836835025,inf,0,0,0,0,1,1,1,0
20,-0.0007541998976256876,15.33836675544239,9.536155100534828,inf,0,0,0,0,1,1,1,0
