time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,-6.162634168696642e-06,15.13524857966997,nan,inf,0,0,0,0,3,1,3,0
1,0.016761730561255222,15.13524857966997,nan,inf,0,0,0,0,3,3,1,1
2,0.028297050973893026,15.13524857966997,1.3487460426884463,inf,0,0,0,0,3,1,3,0
3,0.036168859351172304,15.13524857966997,1.8040073875961682,inf,0,0,0,0,3,2,2,1
4,0.041655297974478346,15.13524857966997,2.2601627168918883,inf,0,0,0,0,4,2,4,1
5,0.045527344033082215,15.13524857966997,2.7171567820855564,inf,0,0,0,0,3,3,1,1
6,0.048673028565911866,15.13524857966997,3.1749717315848063,inf,0,0,0,0,3,1,3,0
7,0.05120125471025645,15.13524857966997,3.632595162155284,inf,0,0,0,0,3,2,2,1
8,0.053415143635177534,15.13524857966997,4.089571935575053,inf,0,0,0,0,3,1,3,0
9,0.05536188353108319,15.13524857966997,4.546718001031042,inf,0,0,0,0,1,1,1,0
10,0.05756974284922403,15.13524857966997,5.003835939635156,inf,0,0,0,0,1,1,1,0
11,0.05892736333077604,15.13524857966997,5.460638153708043,inf,0,0,0,0,1,1,1,0
12,0.05966107280259823,15.13524857966997,5.916108815054569,inf,0,0,0,0,2,2,1,1
13,0.05979446029651794,15.13524857966997,6.370653957052345,inf,0,0,0,0,2,2,1,1
14,0.05902643662923915,15.13524857966997,6.825015978841234,inf,0,0,0,0,1,1,1,0
15,0.057582431828460526,15.13524857966997,7.277558600653107,inf,0,0,0,0,2,2,1,1
16,0.05546353306817223,15.13524857966997,7.72918399865608,inf,0,0,0,0,0,0,0,0
17,0.0527581407813784,15.13524857966997,8.180791817186607,inf,0,0,0,0,1,1,1,0
18,0.04950384578867393,15.13524857966997,8.632412430911186,inf,0,0,0,0,1,1,1,0
19,0.04572492665065257,15.13524857966997,9.083915949416596,inf,0,0,0,0,1,1,1,0
20,0.041732276226358535,15.13524857966997,9.535136990388176,inf,0,0,0,0,1,1,1,0
21,0.03790693892772601,15.13524857966997,9.986449366944482,inf,0,0,0,0,2,2,1,1
22,0.03432794813170717,15.13524857966997,10.437560086159431,inf,0,0,0,0,2,2,1,1
23,0.031211920661980624,15.13524857966997,10.888104337933106,inf,0,0,0,0,1,1,1,0
24,0.028442275774104138,15.13524857966997,11.338055688002132,inf,0,0,0,0,1,1,1,0
25,0.026171618946877494,15.13524857966997,11.787358764525822,inf,0,0,0,0,1,1,1,0
26,0.024295245077481674,15.13524857966997,12.235962274422784,inf,0,0,0,0,3,3,1,1
27,0.02277673256823367,15.13524857966997,12.683804832351155,inf,0,0,0,0,2,2,1,1
28,0.021510516522112416,15.13524857966997,13.13084514828324,inf,0,0,0,0,1,1,1,0
29,0.02047796113253462,15.13524857966997,13.577046890649582,inf,0,0,0,0,1,1,1,0
30,0.01963367192822792,15.13524857966997,14.022379969128174,inf,0,0,0,0,1,1,1,0
31,0.01869096253353685,15.13524857966997,14.467390401914589,inf,0,0,0,0,3,3,1,1
32,0.017825902127401864,15.13524857966997,14.901293017203553,inf,0,0,0,0,2,2,1,1
33,0.01695241095632715,15.13524857966997,14.958406150478703,inf,0,0,0,0,2,2,1,1
34,0.0161261462039959,15.13524857966997,14.958401513469626,inf,0,0,0,0,2,2,1,1
35,0.015252462409943057,15.13524857966997,14.958461513061918,inf,0,0,0,0,2,2,1,1
36,0.01456195559987058,15.13524857966997,14.958467988516242,inf,0,0,0,0,1,1,1,0
37,0.013887491627194715,15.13524857966997,14.958414312026045,inf,0,0,0,0,2,1,2,0
38,0.013250536112531245,15.13524857966997,14.958322891309074,inf,0,0,0,0,2,2,1,1
39,0.012667677867644,15.13524857966997,14.9581987583199,inf,0,0,0,0,1,1,1,0
40,0.012164187859566565,15.13524857966997,14.95804816090254,inf,0,0,0,0,2,2,1,1
41,0.011500537246688664,15.13524857966997,14.957597955360471,inf,0,0,0,0,2,2,1,1
42,0.010813599778323793,15.13524857966997,14.957194379116007,inf,0,0,0,0,2,2,1,1
43,0.010200127131203537,15.13524857966997,14.957105372021053,inf,0,0,0,0,1,1,1,0
44,0.009729635326663377,15.13524857966997,14.957030509339514,inf,0,0,0,0,1,1,1,0
45,0.009305866030749035,15.13524857966997,14.953731759034586,inf,0,0,0,0,1,1,1,0
46,0.008887398952007766,15.13524857966997,14.950829696824602,inf,0,0,0,0,2,2,1,1
47,0.008335412733952573,15.13524857966997,14.948574298647546,inf,0,0,0,0,1,1,1,0
48,0.00812597292695177,15.13524857966997,14.947923426949533,inf,0,0,0,0,1,1,1,0
49,0.008029776315150335,15.13524857966997,14.9499624500012,inf,0,0,0,0,2,2,1,1
50,0.008100821066853746,15.13524857966997,14.953338602833645,inf,0,0,0,0,3,3,1,1
51,0.008335279149395598,15.13524857966997,14.956631476737675,inf,0,0,0,0,1,1,1,0
52,0.0087165379581252,15.13524857966997,14.959614309158686,inf,0,0,0,0,2,2,1,1
53,0.00920863841438323,15.13524857966997,14.962223830644112,inf,0,0,0,0,3,3,1,1
54,0.009697684682454792,15.13524857966997,14.964435290665714,inf,0,0,0,0,2,2,1,1
55,0.010049288453839499,15.13524857966997,14.9663511012514,inf,0,0,0,0,2,2,1,1
56,0.010372351206351133,15.13524857966997,14.967869062957824,inf,0,0,0,0,3,3,1,1
