time,steering_angle,target_speed,current_speed,estimated_dist_cones,numb_bb,size_biggest_bb,size_2_biggest_bb,conf_biggest_bb,pixel_count_color,numb_aggl,biggest_aggl_size,biggest_2_aggl_size
0,-1.211369458367885e-05,13.857743783121405,nan,inf,0,0,0,0,5,3,3,1
1,0.025563372094594545,13.857743783121405,nan,inf,0,0,0,0,4,2,4,1
2,0.043062933346572525,13.857743783121405,1.3538736184392568,inf,0,0,0,0,3,2,2,1
3,0.055046526594318926,13.857743783121405,1.806470046057095,inf,0,0,0,0,4,1,6,0
4,0.06352999736590897,13.857743783121405,2.262921606415271,inf,0,0,0,0,3,1,3,0
5,0.0697187345161257,13.857743783121405,2.719937758613759,inf,0,0,0,0,5,3,4,1
6,0.07477609905725165,13.857743783121405,3.1766538377115277,inf,0,0,0,0,3,1,3,0
7,0.07883812488077371,13.857743783121405,3.632927774105599,inf,0,0,0,0,2,1,2,0
8,0.08248414970117565,13.857743783121405,4.088596302865341,inf,0,0,0,0,1,1,1,0
9,0.08582183535296535,13.857743783121405,4.546330976411528,inf,0,0,0,0,1,1,1,0
10,0.088485782051969,13.857743783121405,5.003389824193211,inf,0,0,0,0,3,2,2,1
11,0.0901070600024845,13.857743783121405,5.459421024473284,inf,0,0,0,0,1,1,1,0
12,0.09071180116815626,13.857743783121405,5.914879537360523,inf,0,0,0,0,2,2,1,1
13,0.08963744495255749,13.857743783121405,6.369989804622728,inf,0,0,0,0,0,0,0,0
14,0.08751056274458494,13.857743783121405,6.8234608914902966,inf,0,0,0,0,0,0,0,0
15,0.08448343035922465,13.857743783121405,7.27609486142929,inf,0,0,0,0,0,0,0,0
16,0.08051074226745604,13.857743783121405,7.728625122673865,inf,0,0,0,0,2,2,1,1
17,0.07584338647444586,13.857743783121405,8.181001002444232,inf,0,0,0,0,0,0,0,0
18,0.07072302122486313,13.857743783121405,8.633084092502829,inf,0,0,0,0,1,1,1,0
19,0.06527756480222974,13.857743783121405,9.08496855107938,inf,0,0,0,0,0,0,0,0
20,0.0600442643605271,13.857743783121405,9.536657494710363,inf,0,0,0,0,1,1,1,0
21,0.05502870439830793,13.857743783121405,9.988144433440587,inf,0,0,0,0,1,1,1,0
22,0.05054940506080745,13.857743783121405,10.439096337765058,inf,0,0,0,0,1,1,1,0
23,0.0465897294882854,13.857743783121405,10.889486023714392,inf,0,0,0,0,1,1,1,0
24,0.043158174948249195,13.857743783121405,11.339252535770148,inf,0,0,0,0,1,1,1,0
25,0.04021681198801488,13.857743783121405,11.788345489090057,inf,0,0,0,0,1,1,1,0
26,0.037745209468150145,13.857743783121405,12.236716958257855,inf,0,0,0,0,0,0,0,0
27,0.035657782168386554,13.857743783121405,12.684328481343433,inf,0,0,0,0,1,1,1,0
28,0.033805784607516515,13.857743783121405,13.131146354760574,inf,0,0,0,0,1,1,1,0
29,0.032315930622811365,13.857743783121405,13.577145329175295,inf,0,0,0,0,1,1,1,0
30,0.030764310553228168,13.857743783121405,13.717539410719832,inf,0,0,0,0,1,1,1,0
31,0.02927220477976826,13.857743783121405,13.717373088133947,inf,0,0,0,0,1,1,1,0
32,0.02785939035643692,13.857743783121405,13.717350471486377,inf,0,0,0,0,2,2,1,1
33,0.026718718272149312,13.857743783121405,13.717298084211452,inf,0,0,0,0,2,2,1,1
34,0.02566458957019944,13.857743783121405,13.717327831856585,inf,0,0,0,0,2,2,1,1
35,0.0247001872173167,13.857743783121405,13.71733810214419,inf,0,0,0,0,2,1,2,0
36,0.02392916572040851,13.857743783121405,13.717310444465436,inf,0,0,0,0,2,2,1,1
37,0.02328906173710865,13.857743783121405,13.717246641029053,inf,0,0,0,0,1,1,1,0
38,0.02265983202635078,13.857743783121405,13.717158141574716,inf,0,0,0,0,3,1,3,0
39,0.02201865949198228,13.857743783121405,13.717055294744476,inf,0,0,0,0,1,1,1,0
40,0.021327473660780867,13.857743783121405,13.716940292076197,inf,0,0,0,0,2,2,1,1
41,0.020632595473270274,13.857743783121405,13.716579261167306,inf,0,0,0,0,2,2,1,1
42,0.019941791585689296,13.857743783121405,13.716252231495867,inf,0,0,0,0,1,1,1,0
43,0.018996567036386545,13.857743783121405,13.716191060879455,inf,0,0,0,0,1,1,1,0
44,0.01774386119543544,13.857743783121405,13.71503410458829,inf,0,0,0,0,2,2,1,1
45,0.016289439469450842,13.857743783121405,13.712256275600609,inf,0,0,0,0,2,1,2,0
46,0.014854041169405703,13.857743783121405,13.710076799035134,inf,0,0,0,0,3,2,2,1
47,0.013638025597718581,13.857743783121405,13.708582951728104,inf,0,0,0,0,1,1,1,0
48,0.012772938179785141,13.857743783121405,13.708778779881792,inf,0,0,0,0,2,2,1,1
49,0.012161676721110341,13.857743783121405,13.711317150974448,inf,0,0,0,0,2,2,1,1
50,0.011862627963661762,13.857743783121405,13.714230456701962,inf,0,0,0,0,1,1,1,0
51,0.011861695500835236,13.857743783121405,13.716961764100317,inf,0,0,0,0,1,1,1,0
52,0.012109036658772655,13.857743783121405,13.719391146711338,inf,0,0,0,0,1,1,1,0
53,0.012518148270536048,13.857743783121405,13.7242080858863,inf,0,0,0,0,1,1,1,0
54,0.013168515605309974,13.857743783121405,13.736093137282392,inf,0,0,0,0,2,2,1,1
55,0.013980446217845508,13.857743783121405,13.739110462442072,inf,0,0,0,0,1,1,1,0
56,0.014576366463790881,13.857743783121405,13.738353355909261,inf,0,0,0,0,2,1,2,0
57,0.015048921963553402,13.857743783121405,13.737794388911167,inf,0,0,0,0,1,1,1,0
58,0.015254536294435921,13.857743783121405,13.730558499149636,inf,0,0,0,0,1,1,1,0
59,0.015020588636185748,13.857743783121405,13.727643390634533,inf,0,0,0,0,2,1,2,0
60,0.014474736346653336,13.857743783121405,13.726093389342378,inf,0,0,0,0,2,2,1,1
61,0.013564760849876524,13.857743783121405,13.724556193117733,inf,0,0,0,0,2,2,1,1
62,0.012490518774535494,13.857743783121405,13.723394378444905,inf,0,0,0,0,2,2,1,1
63,0.011193895722124961,13.857743783121405,13.722362330756576,inf,0,0,0,0,2,1,2,0
64,0.009780712363657245,13.857743783121405,13.721367556542292,inf,0,0,0,0,2,2,1,1
65,0.008356562268712578,13.857743783121405,13.720462698232454,inf,0,0,0,0,2,2,1,1
66,0.006954390858447969,13.857743783121405,13.719706273592136,inf,0,0,0,0,1,1,1,0
67,0.0056507801192529124,13.857743783121405,13.71914000560087,inf,0,0,0,0,2,2,1,1
68,0.004578162663025189,13.857743783121405,13.718352718404825,inf,0,0,0,0,1,1,1,0
69,0.0037100207790593974,13.857743783121405,13.71814038400671,inf,0,0,0,0,1,1,1,0
70,0.0030739180679560784,13.857743783121405,13.718275022621107,inf,0,0,0,0,2,1,2,0
71,0.0027024604065941506,13.857743783121405,13.718830557509783,inf,0,0,0,0,1,1,1,0
72,0.0025681777288310056,13.857743783121405,13.719278665824818,inf,0,0,0,0,3,2,2,1
73,0.0027476278712938065,13.857743783121405,13.719652890052263,inf,0,0,0,0,3,2,2,1
74,0.0031128421902257186,13.857743783121405,13.72001822716287,inf,0,0,0,0,2,2,1,1
75,0.003703761507245771,13.857743783121405,13.720393443704477,inf,0,0,0,0,2,2,1,1
76,0.004528304496210426,13.857743783121405,13.72077538239932,inf,0,0,0,0,1,1,1,0
77,0.005467812066445918,13.857743783121405,13.721156246878252,inf,0,0,0,0,2,2,1,1
78,0.006495717284373875,13.857743783121405,13.72153358087141,inf,0,0,0,0,2,2,1,1
79,0.00757107702585934,13.857743783121405,13.721794634954644,inf,0,0,0,0,1,1,1,0
80,0.008626976296175662,13.857743783121405,13.722134316226892,inf,0,0,0,0,2,1,2,0
81,0.009685551195137535,13.857743783121405,13.722482254527874,inf,0,0,0,0,3,2,2,1
82,0.010646804231676202,13.857743783121405,13.722791612967924,inf,0,0,0,0,2,2,1,1
83,0.011513838123189473,13.857743783121405,13.723064081835771,inf,0,0,0,0,1,1,1,0
84,0.012323186724530855,13.857743783121405,13.723290712374604,inf,0,0,0,0,1,1,1,0
