time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, -0.044271, 9.762519, 21, 1, 21, 0
20, -0.076823, 9.763568, 6, 2, 5, 1
30, -0.132812, 9.764868, 18, 1, 18, 0
40, -0.121094, 9.766694, 12, 1, 12, 0
50, -0.149740, 9.768746, 14, 1, 14, 0
60, -0.141927, 9.770969, 24, 1, 24, 0
70, -0.135417, 9.773130, 7, 1, 7, 0
80, -0.131510, 9.775122, 15, 1, 15, 0
90, -0.130208, 9.776872, 23, 1, 23, 0
100, -0.134115, 9.778335, 10, 1, 10, 0
110, -0.104167, 9.779488, 6, 2, 5, 1
120, -0.117388, 9.780336, 13, 2, 12, 1
130, -0.145252, 9.780903, 15, 2, 14, 1
140, -0.175200, 9.781179, 15, 1, 15, 0
150, -0.171094, 9.781150, 16, 1, 16, 0
160, -0.170573, 9.780893, 15, 1, 15, 0
170, -0.170573, 9.780451, 15, 1, 15, 0
180, -0.173549, 9.779869, 14, 2, 13, 1
190, -0.176587, 9.779190, 6, 3, 3, 2
200, -0.147941, 9.778447, 3, 2, 2, 1
210, -0.116319, 9.777674, 6, 2, 5, 1
220, -0.085503, 9.776908, 9, 2, 8, 1
230, -0.086806, 9.776183, 10, 1, 10, 0
240, -0.103733, 9.775529, 21, 1, 21, 0
250, -0.121094, 9.774945, 23, 1, 23, 0
260, -0.138021, 9.774425, 23, 1, 23, 0
270, -0.140625, 9.773961, 23, 1, 23, 0
280, -0.140625, 9.773550, 23, 1, 23, 0
290, -0.140625, 9.773196, 23, 1, 23, 0
300, -0.140625, 9.772902, 23, 1, 23, 0
310, -0.140625, 9.772665, 23, 1, 23, 0
320, -0.140625, 9.772482, 23, 1, 23, 0
330, -0.140625, 9.772346, 23, 1, 23, 0
340, -0.140625, 9.772246, 23, 1, 23, 0
350, -0.140625, 9.772172, 23, 1, 23, 0
360, -0.140625, 9.772117, 23, 1, 23, 0
370, -0.140417, 9.772071, 25, 2, 24, 1
380, -0.139115, 9.772027, 24, 1, 24, 0
390, -0.137813, 9.771964, 24, 1, 24, 0
400, -0.136719, 9.771877, 24, 1, 24, 0
410, -0.135417, 9.771790, 23, 1, 23, 0
420, -0.134115, 9.771684, 23, 1, 23, 0
430, -0.131510, 9.771553, 22, 1, 22, 0
440, -0.127604, 9.771397, 20, 1, 20, 0
450, -0.119792, 9.771213, 17, 1, 17, 0
460, -0.104167, 9.771003, 12, 1, 12, 0
470, -0.089844, 9.770767, 11, 1, 11, 0
480, -0.079427, 9.770514, 11, 1, 11, 0
490, -0.078125, 9.770250, 11, 1, 11, 0
500, -0.076823, 9.769974, 10, 1, 10, 0
510, -0.075521, 9.769678, 10, 1, 10, 0
520, -0.078125, 9.769351, 11, 2, 10, 1
530, -0.076823, 9.768997, 11, 1, 11, 0
540, -0.075521, 9.768614, 11, 1, 11, 0
550, -0.070312, 9.768207, 11, 1, 11, 0
560, -0.070312, 9.767777, 11, 1, 11, 0
570, -0.070312, 9.767330, 11, 1, 11, 0
580, -0.070312, 9.766863, 11, 1, 11, 0
590, -0.080044, 9.766376, 19, 2, 12, 7
600, -0.092946, 9.765869, 22, 2, 12, 10
610, -0.105967, 9.765338, 23, 1, 23, 0
620, -0.109257, 9.764784, 23, 1, 23, 0
630, -0.109375, 9.764235, 23, 1, 23, 0
640, -0.106771, 9.763684, 23, 1, 23, 0
650, -0.104167, 9.763117, 23, 1, 23, 0
660, -0.101562, 9.762533, 23, 1, 23, 0
670, -0.098958, 9.761927, 23, 1, 23, 0
680, -0.096354, 9.761300, 23, 1, 23, 0
690, -0.093750, 9.760649, 23, 1, 23, 0
700, -0.091146, 9.759970, 23, 1, 23, 0
710, -0.088542, 9.759067, 23, 1, 23, 0
720, -0.085938, 9.757915, 23, 1, 23, 0
730, -0.083333, 9.757046, 23, 1, 23, 0
740, -0.080729, 9.756436, 23, 1, 23, 0
750, -0.078125, 9.755986, 23, 1, 23, 0
760, -0.075521, 9.755567, 23, 1, 23, 0
770, -0.072917, 9.755053, 23, 1, 23, 0
780, -0.075521, 9.754352, 19, 1, 19, 0
790, -0.074219, 9.753395, 2, 1, 2, 0
800, 99999.990000, 9.752191, 0, 1, 0, 0
810, -0.018229, 9.750894, 23, 1, 23, 0
820, -0.036458, 9.749509, 23, 1, 23, 0
830, -0.061198, 9.748082, 18, 1, 18, 0
840, 99999.990000, 9.746644, 0, 1, 0, 0
850, -0.015625, 9.745215, 20, 2, 10, 10
860, -0.029948, 9.743777, 22, 1, 22, 0
870, -0.042969, 9.742349, 23, 1, 23, 0
880, 99999.990000, 9.740961, 0, 1, 0, 0
890, -0.037760, 9.739639, 2, 1, 2, 0
900, -0.048177, 9.738407, 23, 1, 23, 0
910, -0.058594, 9.737277, 23, 1, 23, 0
920, -0.028646, 9.736263, 23, 1, 23, 0
930, -0.015625, 9.735359, 15, 1, 15, 0
940, -0.013021, 9.734567, 1, 1, 1, 0
950, 99999.990000, 9.733885, 0, 1, 0, 0
960, -0.032552, 9.733329, 2, 1, 2, 0
970, -0.058594, 9.732927, 7, 1, 7, 0
980, -0.082031, 9.732619, 9, 1, 9, 0
990, -0.070312, 9.732408, 9, 1, 9, 0
1000, -0.063802, 9.732300, 10, 1, 10, 0
1010, -0.059896, 9.732275, 10, 1, 10, 0
1020, -0.059896, 9.732320, 9, 1, 9, 0
1030, -0.061198, 9.732429, 7, 1, 7, 0
1040, -0.063802, 9.732596, 6, 1, 6, 0
1050, -0.067708, 9.732816, 4, 1, 4, 0
1060, 99999.990000, 9.733081, 0, 1, 0, 0
1070, 0.031250, 9.733415, 1, 1, 1, 0
1080, 0.046875, 9.733806, 13, 1, 13, 0
1090, 0.061198, 9.734228, 14, 1, 14, 0
1100, 0.041667, 9.734659, 18, 1, 18, 0
1110, 0.031250, 9.735100, 23, 1, 23, 0
1120, 0.022135, 9.735555, 23, 1, 23, 0
1130, 0.015625, 9.736018, 23, 1, 23, 0
1140, 0.018229, 9.736483, 23, 1, 23, 0
1150, 0.020833, 9.736945, 23, 1, 23, 0
1160, 0.019531, 9.737394, 20, 1, 20, 0
1170, 0.003906, 9.737827, 11, 1, 11, 0
1180, -0.014323, 9.738247, 9, 1, 9, 0
1190, -0.028646, 9.738658, 7, 1, 7, 0
1200, -0.032552, 9.739064, 6, 1, 6, 0
1210, -0.033854, 9.739462, 6, 1, 6, 0
1220, -0.036458, 9.739847, 5, 1, 5, 0
1230, -0.036458, 9.740221, 4, 1, 4, 0
1240, -0.036458, 9.740583, 4, 1, 4, 0
1250, -0.035156, 9.740938, 4, 1, 4, 0
1260, -0.020182, 9.741284, 4, 2, 3, 1
1270, -0.018880, 9.741621, 3, 1, 3, 0
1280, -0.016276, 9.741949, 4, 1, 4, 0
1290, -0.028646, 9.742273, 4, 1, 4, 0
1300, -0.024740, 9.742605, 4, 1, 4, 0
1310, -0.020833, 9.742950, 5, 1, 5, 0
1320, -0.016927, 9.743305, 5, 1, 5, 0
1330, -0.014323, 9.743671, 6, 1, 6, 0
1340, -0.010417, 9.744046, 6, 1, 6, 0
1350, -0.005208, 9.744436, 7, 1, 7, 0
1360, 0.000000, 9.744839, 8, 1, 8, 0
1370, 0.003906, 9.745256, 9, 1, 9, 0
1380, 0.006984, 9.745689, 11, 2, 10, 1
1390, 0.012192, 9.746140, 10, 1, 10, 0
1400, 0.016098, 9.746606, 10, 1, 10, 0
1410, 0.020833, 9.747093, 11, 1, 11, 0
1420, 0.028646, 9.747593, 16, 1, 16, 0
1430, 0.037760, 9.748102, 17, 1, 17, 0
1440, 0.049609, 9.748623, 20, 2, 19, 1
1450, 0.057422, 9.749152, 20, 1, 20, 0
1460, 0.063932, 9.749689, 20, 1, 20, 0
1470, 0.067708, 9.750250, 21, 1, 21, 0
1480, 0.069010, 9.750821, 21, 1, 21, 0
1490, 0.070312, 9.751404, 21, 1, 21, 0
1500, 0.071615, 9.752000, 22, 1, 22, 0
1510, 0.072917, 9.752607, 22, 1, 22, 0
1520, 0.075521, 9.753221, 21, 1, 21, 0
1530, 0.076823, 9.753842, 21, 1, 21, 0
1540, 0.078125, 9.754466, 21, 1, 21, 0
1550, 0.075645, 9.755093, 21, 2, 20, 1
1560, 0.074343, 9.755724, 20, 1, 20, 0
1570, 0.073041, 9.756360, 20, 1, 20, 0
1580, 0.074219, 9.756999, 20, 1, 20, 0
1590, 0.072917, 9.757637, 19, 1, 19, 0
1600, 0.071615, 9.758273, 19, 1, 19, 0
1610, 0.069010, 9.758905, 18, 1, 18, 0
1620, 0.066406, 9.759537, 17, 1, 17, 0
1630, 0.062500, 9.760167, 16, 1, 16, 0
1640, 0.059896, 9.760795, 16, 1, 16, 0
1650, 0.053385, 9.761421, 12, 1, 12, 0
1660, 0.048177, 9.762046, 12, 1, 12, 0
1670, 0.044271, 9.762670, 11, 1, 11, 0
1680, 0.045573, 9.763292, 11, 1, 11, 0
1690, 0.045573, 9.763908, 10, 1, 10, 0
1700, 0.044271, 9.764517, 10, 1, 10, 0
1710, 0.042969, 9.765118, 10, 1, 10, 0
1720, 0.042969, 9.765715, 10, 1, 10, 0
1730, 0.042969, 9.766306, 10, 1, 10, 0
1740, 0.042969, 9.766888, 10, 1, 10, 0
1750, 0.042969, 9.767460, 10, 1, 10, 0
1760, 0.042969, 9.768024, 10, 1, 10, 0
1770, 0.042969, 9.768583, 10, 1, 10, 0
1780, 0.042969, 9.769135, 10, 1, 10, 0
1790, 0.042969, 9.769679, 10, 1, 10, 0
1800, 0.042969, 9.770213, 10, 1, 10, 0
1810, 0.044271, 9.770739, 11, 1, 11, 0
1820, 0.045573, 9.771257, 11, 1, 11, 0
1830, 0.046875, 9.771766, 11, 1, 11, 0
1840, 0.046875, 9.772267, 11, 1, 11, 0
