time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, -0.016927, 6.671346, 8, 1, 8, 0
20, -0.036458, 6.669745, 10, 1, 10, 0
30, -0.055990, 6.668468, 10, 1, 10, 0
40, -0.057075, 6.667427, 24, 1, 24, 0
50, -0.055773, 6.666441, 13, 1, 13, 0
60, -0.048325, 6.664975, 25, 1, 25, 0
70, -0.043333, 6.663099, 19, 1, 19, 0
80, -0.033103, 6.660899, 28, 1, 28, 0
90, -0.037045, 6.658464, 26, 1, 26, 0
100, -0.035743, 6.655882, 20, 1, 20, 0
110, -0.033457, 6.653234, 31, 1, 31, 0
120, -0.027718, 6.650598, 40, 1, 40, 0
130, -0.030636, 6.648046, 29, 1, 29, 0
140, -0.037528, 6.645639, 25, 1, 25, 0
150, -0.037658, 6.643428, 23, 1, 23, 0
160, -0.033438, 6.641457, 23, 1, 23, 0
170, -0.031250, 6.639760, 23, 1, 23, 0
180, -0.029948, 6.638362, 22, 1, 22, 0
190, -0.029748, 6.637279, 26, 1, 26, 0
200, -0.030789, 6.636519, 30, 1, 30, 0
210, -0.031571, 6.636083, 35, 1, 35, 0
220, -0.025397, 6.635968, 38, 1, 38, 0
230, -0.014916, 6.636157, 32, 1, 32, 0
240, -0.004391, 6.636648, 29, 1, 29, 0
250, -0.001027, 6.637429, 23, 1, 23, 0
260, -0.003957, 6.638487, 20, 1, 20, 0
270, -0.008492, 6.639804, 20, 1, 20, 0
280, -0.009115, 6.641364, 20, 1, 20, 0
290, -0.006510, 6.643153, 20, 1, 20, 0
300, -0.003906, 6.645166, 20, 1, 20, 0
310, -0.001302, 6.647397, 20, 1, 20, 0
320, 0.001302, 6.649843, 20, 1, 20, 0
330, 0.003906, 6.652495, 20, 1, 20, 0
340, 0.005208, 6.655348, 21, 1, 21, 0
350, 0.007812, 6.658400, 20, 1, 20, 0
360, 0.011719, 6.661645, 21, 1, 21, 0
370, 0.015625, 6.665088, 20, 1, 20, 0
380, 0.018229, 6.668729, 20, 1, 20, 0
390, 0.020833, 6.672573, 21, 1, 21, 0
400, 0.023438, 6.676617, 20, 1, 20, 0
410, 0.027344, 6.680867, 21, 1, 21, 0
420, 0.031250, 6.685319, 20, 1, 20, 0
430, 0.035156, 6.689983, 21, 1, 21, 0
440, 0.039062, 6.694859, 20, 1, 20, 0
450, 0.042969, 6.699954, 21, 1, 21, 0
460, 0.045573, 6.705268, 21, 1, 21, 0
470, 0.049479, 6.710806, 21, 1, 21, 0
