time,black_car_angle,distance_sensors,num_pixel_black,agglomerate_count,agglomerate_size_1,agglomerate_size_2
10, 0.027344, 9.215841, 20, 1, 20, 0
20, 0.052083, 9.217009, 22, 1, 22, 0
30, 0.067708, 9.217923, 21, 1, 21, 0
40, 0.049598, 9.219345, 11, 2, 9, 2
50, 0.057410, 9.221328, 16, 1, 16, 0
60, 0.054806, 9.223803, 19, 1, 19, 0
70, 0.071470, 9.226475, 18, 2, 14, 4
80, 0.058449, 9.229203, 24, 1, 24, 0
90, 0.063440, 9.231878, 12, 2, 7, 5
100, 0.066189, 9.234411, 19, 1, 19, 0
110, 0.051866, 9.236740, 11, 1, 11, 0
120, 0.059635, 9.238823, 20, 3, 13, 5
130, 0.060938, 9.240641, 24, 2, 18, 6
140, 0.081957, 9.242191, 28, 2, 22, 6
150, 0.074305, 9.243480, 26, 2, 20, 6
160, 0.056692, 9.244522, 19, 2, 13, 6
170, 0.041954, 9.245344, 17, 2, 12, 5
180, 0.036411, 9.245983, 18, 2, 12, 6
190, 0.038399, 9.246475, 18, 2, 12, 6
200, 0.044912, 9.246860, 23, 2, 17, 6
210, 0.055019, 9.247173, 28, 2, 22, 6
220, 0.069528, 9.247446, 28, 2, 22, 6
230, 0.082875, 9.247710, 26, 2, 20, 6
240, 0.094263, 9.247986, 23, 2, 17, 6
250, 0.102244, 9.248296, 22, 2, 16, 6
260, 0.104182, 9.248651, 23, 3, 14, 6
270, 0.103044, 9.249067, 20, 3, 13, 5
280, 0.092055, 9.249551, 12, 2, 7, 5
290, 0.075813, 9.250110, 11, 2, 9, 2
300, 0.058495, 9.250747, 10, 2, 9, 1
310, 0.044389, 9.251468, 10, 1, 10, 0
320, 0.040365, 9.252274, 11, 1, 11, 0
330, 0.037760, 9.253164, 11, 1, 11, 0
340, 0.040365, 9.254139, 10, 1, 10, 0
350, 0.042969, 9.255190, 11, 1, 11, 0
360, 0.045573, 9.256313, 11, 1, 11, 0
370, 0.052794, 9.257499, 11, 2, 10, 1
380, 0.058002, 9.258752, 10, 2, 9, 1
390, 0.068202, 9.260058, 12, 3, 9, 2
400, 0.077435, 9.261411, 11, 2, 8, 3
410, 0.090692, 9.262795, 11, 2, 7, 4
420, 0.102728, 9.264203, 13, 2, 7, 6
430, 0.113060, 9.265633, 14, 2, 8, 6
440, 0.124687, 9.267077, 18, 2, 13, 5
450, 0.132269, 9.268527, 20, 3, 14, 5
460, 0.137911, 9.269972, 21, 3, 14, 4
470, 0.138389, 9.271412, 23, 3, 14, 5
480, 0.141124, 9.272839, 24, 3, 15, 6
490, 0.144192, 9.274256, 23, 3, 15, 6
500, 0.147258, 9.275660, 24, 3, 16, 6
510, 0.149806, 9.277057, 23, 3, 16, 6
520, 0.150768, 9.278386, 24, 3, 16, 7
530, 0.152287, 9.279668, 24, 3, 16, 7
540, 0.152344, 9.280901, 24, 3, 16, 7
550, 0.155056, 9.282019, 24, 2, 17, 7
560, 0.158510, 9.283110, 23, 2, 17, 6
570, 0.161963, 9.284169, 23, 2, 17, 6
580, 0.162704, 9.285196, 23, 2, 17, 6
590, 0.162704, 9.286204, 23, 2, 17, 6
600, 0.162704, 9.287188, 23, 2, 17, 6
610, 0.162704, 9.288139, 23, 2, 17, 6
620, 0.162704, 9.289060, 23, 2, 17, 6
630, 0.162704, 9.289945, 23, 2, 17, 6
640, 0.161618, 9.290786, 22, 2, 16, 6
650, 0.159806, 9.291586, 23, 2, 16, 7
660, 0.156353, 9.292352, 24, 3, 16, 7
670, 0.154577, 9.293093, 22, 3, 15, 6
680, 0.153527, 9.293799, 22, 3, 15, 6
690, 0.154119, 9.294464, 22, 3, 15, 6
700, 0.154119, 9.295096, 22, 3, 15, 6
710, 0.151160, 9.295689, 22, 3, 14, 6
720, 0.148201, 9.296252, 22, 3, 14, 6
730, 0.144531, 9.296770, 22, 3, 14, 6
740, 0.142992, 9.297113, 22, 3, 14, 5
750, 0.139370, 9.297250, 15, 4, 7, 4
760, 0.114128, 9.297144, 8, 2, 7, 1
770, 0.086784, 9.296686, 10, 1, 10, 0
780, 0.070638, 9.295865, 17, 1, 17, 0
790, 0.087240, 9.294776, 25, 1, 25, 0
800, 0.113281, 9.293640, 18, 1, 18, 0
810, 0.130642, 9.292545, 15, 2, 13, 2
820, 0.108507, 9.291313, 10, 1, 10, 0
830, 0.099392, 9.289921, 25, 1, 25, 0
840, 0.093750, 9.288422, 20, 1, 20, 0
850, 0.127930, 9.286831, 8, 2, 5, 3
860, 0.104492, 9.285249, 9, 1, 9, 0
870, 0.095378, 9.283632, 25, 1, 25, 0
880, 0.075521, 9.282013, 25, 1, 25, 0
890, 0.104167, 9.279835, 15, 1, 15, 0
900, 0.071615, 9.277775, 2, 1, 2, 0
910, 0.049479, 9.276172, 10, 1, 10, 0
920, 0.035156, 9.274796, 24, 1, 24, 0
930, 0.062500, 9.273520, 25, 1, 25, 0
940, 0.079427, 9.272338, 25, 1, 25, 0
950, 0.076823, 9.271257, 24, 1, 24, 0
960, 0.080729, 9.270343, 20, 1, 20, 0
970, 0.087240, 9.269548, 16, 1, 16, 0
980, 0.089518, 9.268848, 8, 2, 7, 1
990, 0.080404, 9.268244, 5, 1, 5, 0
1000, 0.067383, 9.267733, 6, 1, 6, 0
1010, 0.058594, 9.267305, 7, 1, 7, 0
1020, 0.055990, 9.266989, 9, 1, 9, 0
1030, 0.051809, 9.266758, 19, 3, 15, 2
1040, 0.047903, 9.266610, 24, 1, 24, 0
1050, 0.041393, 9.266537, 24, 1, 24, 0
1060, 0.037760, 9.266533, 24, 1, 24, 0
1070, 0.033854, 9.266587, 25, 1, 25, 0
1080, 0.031250, 9.266742, 24, 1, 24, 0
1090, 0.027344, 9.266952, 25, 1, 25, 0
1100, 0.023438, 9.267202, 24, 1, 24, 0
1110, 0.019531, 9.267484, 25, 1, 25, 0
1120, 0.027344, 9.267792, 12, 2, 10, 2
1130, 0.045573, 9.268122, 8, 1, 8, 0
1140, 0.067708, 9.268477, 4, 1, 4, 0
1150, 0.080729, 9.268869, 1, 1, 1, 0
1160, 99999.990000, 9.269308, 0, 1, 0, 0
1170, -0.016146, 9.269896, 5, 2, 3, 2
