time,ego_x,ego_y,yaw,cone0_x,cone0_y,cone0_min_dist,cone1_x,cone1_y,cone1_min_dist,cone2_x,cone2_y,cone2_min_dist,speed_car,broken_car_color0,broken_car_color1,broken_car_color2,min_distance_cones
0,31.924887373299214,14.860569019309295,3.1212459881889263,-8.378755289430861,18.035397355431176,38.599893302197664,-7.269485519306755,16.594618026337294,37.461787724744,-9.302047897365036,19.183873475205953,39.54648782388173,0.00482658740578747,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.461787724744
1,31.921138477821472,14.86070733875613,3.1212494417653733,-8.378755289430861,18.035397355431176,38.5961342466501,-7.269485519306755,16.594618026337294,37.458033849611255,-9.302047897365036,19.183873475205953,39.54272507588479,0.1157119322936826,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.458033849611255
2,31.913035855694226,14.861027026779325,3.121268706469454,-8.378755289430861,18.035397355431176,38.58798151321592,-7.269485519306755,16.594618026337294,37.44991060345563,-9.302047897365036,19.183873475205953,39.53455216825699,0.2458314877556501,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.44991060345563
3,31.900245874449805,14.861536924560523,3.1212599142642072,-8.378755289430861,18.035397355431176,38.575204440169436,-7.269485519306755,16.594618026337294,37.43711905093439,-9.302047897365036,19.183873475205953,39.521783577391,0.38645609351082066,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.43711905093439
4,31.883220258285977,14.862237064674009,3.121198218763593,-8.378755289430861,18.035397355431176,38.55831304780939,-7.269485519306755,16.594618026337294,37.42013050959407,-9.302047897365036,19.183873475205953,39.50495486716407,0.5137692312305445,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.42013050959407
5,31.862049539424092,14.863159808300948,3.121087882868214,-8.378755289430861,18.035397355431176,38.53738719468986,-7.269485519306755,16.594618026337294,37.39903134940742,-9.302047897365036,19.183873475205953,39.4841414249363,0.639264438288191,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.39903134940742
6,31.836743623731902,14.864342654287647,3.120926936874977,-8.378755289430861,18.035397355431176,38.51244069008898,-7.269485519306755,16.594618026337294,37.373832179388955,-9.302047897365036,19.183873475205953,39.45935899359764,0.7660172160440012,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.373832179388955
7,31.80723218299322,14.86581537669397,3.1207020023500287,-8.378755289430861,18.035397355431176,38.483434128619486,-7.269485519306755,16.594618026337294,37.3444726722412,-9.302047897365036,19.183873475205953,39.430581863657814,0.8972603832810148,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.3444726722412
8,31.77434207284139,14.8670439655689,3.1202303890289227,-8.378755289430861,18.035397355431176,38.451634780068765,-7.269485519306755,16.594618026337294,37.31193761156896,-9.302047897365036,19.183873475205953,39.39926655609596,1.0082047418227824,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.31193761156896
9,31.738325487620646,14.86838951027421,3.119707209892436,-8.378755289430861,18.035397355431176,38.416828991284476,-7.269485519306755,16.594618026337294,37.276315686752326,-9.302047897365036,19.183873475205953,39.36499774500154,1.113582694684015,0.8951936176613964,0.3794876334023815,0.06396234779496862,37.276315686752326
