time,yellow_line_angle
10, -0.006853
20, -0.013754
30, -0.020330
40, -0.019625
50, -0.019353
60, -0.018881
70, -0.018865
80, -0.018701
90, -0.019243
100, -0.019766
110, -0.019811
120, -0.019459
130, -0.018841
140, -0.018367
150, -0.018111
160, -0.018414
170, -0.018945
180, -0.019744
190, -0.020347
200, -0.021192
210, -0.022265
220, -0.023505
230, -0.024743
240, -0.025365
250, -0.025665
260, -0.025500
270, -0.025859
280, -0.026175
290, -0.026371
300, -0.025922
310, -0.025235
320, -0.025354
330, -0.025883
340, -0.026668
350, -0.026657
360, -0.028393
370, -0.030361
380, -0.032617
390, -0.033022
400, -0.033267
410, -0.033806
420, -0.034507
430, -0.035549
440, -0.036184
450, -0.036492
460, -0.036166
470, -0.036582
480, -0.037136
490, -0.038240
500, -0.038356
510, -0.038796
520, -0.038790
530, -0.039760
540, -0.040876
550, -0.042848
560, -0.043883
570, -0.044410
580, -0.044560
590, -0.045056
600, -0.045745
610, -0.046416
620, -0.046699
630, -0.046492
640, -0.046120
650, -0.046114
660, -0.046403
670, -0.046586
680, -0.046382
690, -0.046374
700, -0.046191
710, -0.046010
720, -0.045463
730, -0.045293
740, -0.044845
750, -0.044194
760, -0.042617
770, -0.041644
780, -0.040816
790, -0.040237
800, -0.039418
810, -0.038944
820, -0.039057
830, -0.039284
840, -0.039176
850, -0.038954
860, -0.038845
870, -0.037977
880, -0.036702
890, -0.035106
900, -0.034403
910, -0.033877
920, -0.033815
930, -0.033523
940, -0.032918
950, -0.032157
960, -0.031317
970, -0.031407
980, -0.030377
990, -0.030006
1000, -0.028912
1010, -0.028489
1020, -0.027694
1030, -0.026794
1040, -0.026200
1050, -0.025323
1060, -0.025026
1070, -0.024933
1080, -0.024650
1090, -0.023839
1100, -0.022914
1110, -0.021609
1120, -0.020257
1130, -0.018749
1140, -0.018106
1150, -0.017966
1160, -0.018091
1170, -0.017674
1180, -0.016456
1190, -0.014453
1200, -0.012998
1210, -0.012271
1220, -0.011318
1230, -0.010399
1240, -0.009269
1250, -0.008747
1260, -0.008138
1270, -0.007552
1280, -0.006340
1290, -0.005071
1300, -0.003417
1310, -0.002540
1320, -0.001830
1330, -0.001753
1340, -0.000659
1350, 0.000889
1360, 0.002916
1370, 0.004146
1380, 0.005218
1390, 0.005904
1400, 0.006772
1410, 0.007392
1420, 0.008050
1430, 0.008433
1440, 0.008265
1450, 0.008111
1460, 0.007381
1470, 0.007781
1480, 0.008451
1490, 0.009666
1500, 0.010336
1510, 0.010823
1520, 0.010997
1530, 0.011053
1540, 0.011121
1550, 0.011309
1560, 0.011688
1570, 0.011683
1580, 0.011546
1590, 0.011427
1600, 0.011823
1610, 0.012120
1620, 0.012434
1630, 0.012201
1640, 0.012312
1650, 0.012207
1660, 0.012560
1670, 0.012718
1680, 0.012863
1690, 0.012999
1700, 0.013103
1710, 0.013346
1720, 0.012914
1730, 0.013022
1740, 0.012991
1750, 0.013635
1760, 0.014088
1770, 0.014206
1780, 0.014057
1790, 0.013270
1800, 0.012722
1810, 0.012054
1820, 0.011785
1830, 0.011613
1840, 0.011504
1850, 0.011322
1860, 0.011245
1870, 0.011279
1880, 0.011189
1890, 0.010817
1900, 0.010445
1910, 0.010462
1920, 0.011122
1930, 0.011494
1940, 0.011855
1950, 0.011568
1960, 0.011568
1970, 0.011384
1980, 0.011086
1990, 0.010692
2000, 0.010205
2010, 0.010016
2020, 0.009924
2030, 0.009964
2040, 0.009892
2050, 0.009801
2060, 0.009669
2070, 0.009770
2080, 0.009852
2090, 0.009890
2100, 0.009876
2110, 0.009833
2120, 0.009664
2130, 0.009504
2140, 0.009431
2150, 0.009528
2160, 0.009571
2170, 0.009748
2180, 0.009971
2190, 0.010913
2200, 0.011659
2210, 0.011796
2220, 0.009927
2230, 0.007888
2240, 0.006261
2250, 0.005663
2260, 0.005524
2270, 0.005495
2280, 0.005396
2290, 0.004727
2300, 0.003765
2310, 0.003226
2320, 0.002806
2330, 0.002923
2340, 0.002923
2350, 0.002979
2360, 0.002963
2370, 0.002845
2380, 0.002563
2390, 0.002132
2400, 0.001931
2410, 0.001765
2420, 0.001722
2430, 0.001612
2440, 0.001653
2450, 0.001714
2460, 0.001437
2470, 0.001025
2480, 0.000413
2490, -0.000357
2500, -0.001047
2510, -0.001539
2520, -0.001998
2530, -0.002208
2540, -0.002489
2550, -0.002512
2560, -0.002393
2570, -0.002252
2580, -0.001689
2590, -0.001534
2600, -0.001674
2610, -0.002449
2620, -0.003026
2630, -0.003378
2640, -0.003378
2650, -0.003378
2660, -0.003378
2670, -0.003378
2680, -0.003554
2690, -0.003730
2700, -0.004012
2710, -0.004229
2720, -0.004546
2730, -0.004757
2740, -0.005046
2750, -0.005236
2760, -0.005236
2770, -0.005046
2780, -0.004856
2790, -0.004745
2800, -0.004634
2810, -0.004523
2820, -0.004523
2830, -0.004353
2840, -0.004292
2850, -0.004520
2860, -0.004630
2870, -0.004868
2880, -0.004631
2890, -0.004684
2900, -0.004684
2910, -0.004812
2920, -0.004940
2930, -0.004683
2940, -0.004683
2950, -0.004484
2960, -0.004484
2970, -0.004402
2980, -0.004103
2990, -0.004022
3000, -0.004038
3010, -0.004338
3020, -0.004419
3030, -0.004356
3040, -0.004192
3050, -0.004211
3060, -0.004049
3070, -0.004121
3080, -0.003908
3090, -0.003736
3100, -0.003636
3110, -0.003387
3120, -0.003357
3130, -0.003176
3140, -0.003428
3150, -0.003530
3160, -0.003876
3170, -0.004147
3180, -0.004318
3190, -0.004041
3200, -0.003660
3210, -0.003554
3220, -0.003730
3230, -0.003906
3240, -0.003795
3250, -0.003337
3260, -0.002880
3270, -0.002374
3280, -0.002215
3290, -0.002056
3300, -0.001934
3310, -0.001811
3320, -0.001689
3330, -0.001689
3340, -0.001850
3350, -0.001669
3360, -0.001489
3370, -0.001149
3380, -0.001287
3390, -0.000980
3400, -0.000827
3410, -0.000306
3420, -0.000072
3430, 0.000395
3440, 0.000647
3450, 0.000741
3460, 0.000863
3470, 0.000958
3480, 0.001227
3490, 0.001891
3500, 0.002442
3510, 0.003223
3520, 0.003202
3530, 0.002689
3540, 0.001387
3550, 0.000745
3560, 0.000545
3570, 0.000642
3580, 0.000984
3590, 0.001298
3600, 0.001619
3610, 0.001110
3620, 0.000982
3630, 0.001047
3640, 0.001442
3650, 0.001307
3660, 0.001150
3670, 0.001234
3680, 0.001550
3690, 0.001713
3700, 0.001199
3710, 0.000721
3720, 0.000381
3730, 0.000298
3740, 0.000566
3750, 0.000551
3760, 0.000610
3770, 0.000267
3780, 0.000068
