time,yellow_line_angle
10, 0.029742
20, 0.059414
30, 0.089401
40, 0.089229
50, 0.089043
60, 0.088290
70, 0.087462
80, 0.085928
90, 0.084595
100, 0.083798
110, 0.084180
120, 0.084423
130, 0.084291
140, 0.083978
150, 0.083542
160, 0.083603
170, 0.083167
180, 0.083044
190, 0.082731
200, 0.083112
210, 0.083494
220, 0.083433
230, 0.082133
240, 0.080509
250, 0.079351
260, 0.078934
270, 0.079155
280, 0.079133
290, 0.078838
300, 0.077816
310, 0.077084
320, 0.076400
330, 0.075913
340, 0.075401
350, 0.074370
360, 0.072946
370, 0.071210
380, 0.069708
390, 0.068261
400, 0.066139
410, 0.064333
420, 0.062149
430, 0.060509
440, 0.058954
450, 0.057637
460, 0.056383
470, 0.054694
480, 0.052846
490, 0.050712
500, 0.049301
510, 0.047333
520, 0.045865
530, 0.043092
540, 0.041949
550, 0.039688
560, 0.038372
570, 0.036224
580, 0.035387
590, 0.034002
600, 0.032411
610, 0.029851
620, 0.027663
630, 0.026094
640, 0.024139
650, 0.021811
660, 0.019059
670, 0.017807
680, 0.016255
690, 0.014128
700, 0.011548
710, 0.009531
720, 0.008229
730, 0.006535
740, 0.004468
750, 0.001864
760, -0.000431
770, -0.002020
780, -0.003068
790, -0.004287
800, -0.006171
810, -0.007771
820, -0.009071
830, -0.009722
840, -0.010608
850, -0.011545
860, -0.013281
870, -0.014583
880, -0.015432
890, -0.015232
900, -0.015705
910, -0.016863
920, -0.018491
930, -0.019912
940, -0.020479
950, -0.021085
960, -0.021106
970, -0.021719
980, -0.022037
990, -0.022645
1000, -0.023848
1010, -0.025156
1020, -0.026762
1030, -0.028002
1040, -0.028945
1050, -0.029722
1060, -0.030156
1070, -0.030451
1080, -0.030685
1090, -0.030738
1100, -0.030907
1110, -0.030976
1120, -0.031035
1130, -0.031031
1140, -0.030878
1150, -0.031919
1160, -0.033435
1170, -0.035273
1180, -0.035924
1190, -0.036435
1200, -0.036907
1210, -0.037649
1220, -0.038219
1230, -0.038442
1240, -0.038252
1250, -0.037772
1260, -0.037272
1270, -0.037016
1280, -0.037071
1290, -0.037288
1300, -0.037382
1310, -0.037251
1320, -0.037047
1330, -0.036800
1340, -0.036667
1350, -0.036683
1360, -0.036717
1370, -0.036636
1380, -0.036549
1390, -0.036576
1400, -0.037128
1410, -0.037011
1420, -0.037048
1430, -0.037048
1440, -0.037368
1450, -0.037903
1460, -0.037697
1470, -0.037234
1480, -0.036574
1490, -0.036255
1500, -0.036540
1510, -0.036400
1520, -0.036273
1530, -0.035808
1540, -0.035640
1550, -0.035154
1560, -0.034985
1570, -0.034904
1580, -0.035033
1590, -0.034946
1600, -0.034691
1610, -0.034279
1620, -0.033689
1630, -0.032597
1640, -0.032114
1650, -0.031069
1660, -0.031069
1670, -0.030673
1680, -0.030700
1690, -0.030631
1700, -0.030625
1710, -0.030671
1720, -0.029986
1730, -0.028760
1740, -0.027725
1750, -0.026903
1760, -0.026354
1770, -0.025853
1780, -0.025346
1790, -0.025170
1800, -0.025405
1810, -0.025174
1820, -0.024395
1830, -0.023080
1840, -0.022344
1850, -0.021626
1860, -0.021030
1870, -0.019969
1880, -0.018973
1890, -0.017783
1900, -0.016835
1910, -0.016067
1920, -0.015618
1930, -0.015817
1940, -0.015489
1950, -0.014524
1960, -0.012540
1970, -0.011046
1980, -0.010079
1990, -0.009784
2000, -0.009790
2010, -0.009348
2020, -0.008535
2030, -0.007672
2040, -0.006723
2050, -0.005808
2060, -0.004101
2070, -0.002699
2080, -0.001151
2090, -0.000060
2100, 0.000424
2110, 0.000334
2120, 0.000239
2130, 0.000832
2140, 0.001907
2150, 0.003026
2160, 0.003505
2170, 0.003859
2180, 0.003832
2190, 0.004506
2200, 0.005232
2210, 0.006010
2220, 0.006892
2230, 0.007337
2240, 0.008621
2250, 0.009389
2260, 0.010559
2270, 0.010547
2280, 0.010656
2290, 0.010880
2300, 0.010847
2310, 0.010858
2320, 0.010144
2330, 0.010060
2340, 0.009839
2350, 0.009540
2360, 0.009290
2370, 0.008946
2380, 0.008946
2390, 0.008747
2400, 0.008399
2410, 0.008263
2420, 0.008514
2430, 0.008676
2440, 0.008895
2450, 0.008737
2460, 0.008960
2470, 0.009311
2480, 0.009719
2490, 0.009949
2500, 0.009915
2510, 0.009881
2520, 0.009980
2530, 0.010080
2540, 0.009864
2550, 0.009856
2560, 0.009848
2570, 0.009983
2580, 0.009771
2590, 0.009259
2600, 0.008838
2610, 0.008171
2620, 0.008171
2630, 0.008434
2640, 0.009119
2650, 0.009606
2660, 0.009504
2670, 0.009404
2680, 0.009337
2690, 0.009621
2700, 0.009746
2710, 0.009822
2720, 0.009957
2730, 0.009995
2740, 0.009703
2750, 0.009167
2760, 0.009004
2770, 0.009035
2780, 0.009344
2790, 0.009394
2800, 0.009968
2810, 0.009342
2820, 0.008456
2830, 0.006622
2840, 0.006157
2850, 0.005664
2860, 0.005118
2870, 0.004368
2880, 0.003780
2890, 0.003455
2900, 0.003329
2910, 0.003129
2920, 0.002993
2930, 0.002945
2940, 0.003097
2950, 0.003155
2960, 0.003284
2970, 0.003197
2980, 0.003341
2990, 0.003125
3000, 0.003060
3010, 0.003194
3020, 0.002842
3030, 0.002418
3040, 0.001763
3050, 0.001496
3060, 0.001326
3070, 0.001028
3080, 0.000836
3090, 0.000989
3100, 0.001318
3110, 0.001799
3120, 0.001894
3130, 0.002289
3140, 0.002052
3150, 0.001792
3160, 0.001280
3170, 0.001510
3180, 0.001405
3190, 0.001362
3200, 0.001039
3210, 0.000958
3220, 0.000691
3230, 0.000119
3240, -0.000137
3250, -0.000331
3260, -0.000415
3270, -0.001030
3280, -0.001734
3290, -0.002278
3300, -0.002411
3310, -0.002530
3320, -0.002724
3330, -0.003096
3340, -0.003394
3350, -0.003571
3360, -0.003571
3370, -0.003683
3380, -0.003900
3390, -0.004399
3400, -0.004605
3410, -0.004705
3420, -0.004523
3430, -0.004523
3440, -0.004523
3450, -0.004523
3460, -0.004523
3470, -0.004353
3480, -0.004292
3490, -0.004403
3500, -0.004628
3510, -0.004866
3520, -0.004810
3530, -0.004747
3540, -0.004747
3550, -0.004487
3560, -0.004615
3570, -0.004615
3580, -0.004940
3590, -0.004940
3600, -0.004476
3610, -0.004395
3620, -0.003895
3630, -0.004103
3640, -0.003985
3650, -0.004284
3660, -0.004284
3670, -0.004121
3680, -0.003958
3690, -0.003977
3700, -0.004049
3710, -0.004121
3720, -0.003908
3730, -0.003906
3740, -0.003806
3750, -0.003532
3760, -0.003332
3770, -0.003230
3780, -0.003405
3790, -0.003405
3800, -0.003572
3810, -0.003839
3820, -0.003717
3830, -0.003428
3840, -0.003152
3850, -0.003441
3860, -0.003730
3870, -0.003795
3880, -0.003683
3890, -0.003226
3900, -0.002880
3910, -0.002374
3920, -0.002215
3930, -0.001863
3940, -0.001540
3950, -0.001417
3960, -0.001488
3970, -0.001689
3980, -0.001850
3990, -0.001669
4000, -0.001489
4010, -0.001149
4020, -0.001379
4030, -0.001311
4040, -0.001158
4050, -0.000699
4060, -0.000383
4070, 0.000172
4080, 0.000673
4090, 0.001020
4100, 0.001042
4110, 0.001042
4120, 0.001215
4130, 0.001519
4140, 0.001866
4150, 0.002214
4160, 0.002307
4170, 0.002191
4180, 0.001416
4190, 0.000851
4200, 0.000542
4210, 0.000545
4220, 0.000848
4230, 0.001080
4240, 0.001658
4250, 0.001455
4260, 0.001326
4270, 0.001023
4280, 0.001070
4290, 0.001171
4300, 0.000962
4310, 0.000873
4320, 0.000952
4330, 0.001277
4340, 0.001189
4350, 0.000790
4360, 0.000451
4370, 0.000447
4380, 0.000636
4390, 0.000621
4400, 0.000682
4410, 0.000339
4420, 0.000140
4430, 0.000003
4440, -0.000124
4450, -0.000129
4460, -0.000398
4470, -0.000271
4480, -0.001045
4490, -0.001496
4500, -0.002059
4510, -0.001720
4520, -0.001793
4530, -0.001572
4540, -0.001348
4550, -0.000885
4560, -0.000542
4570, -0.000194
4580, -0.000000
4590, -0.000070
4600, -0.000343
4610, -0.000207
4620, -0.000137
4630, -0.000343
4640, -0.000879
4650, -0.001427
4660, -0.001594
4670, -0.001760
4680, -0.001846
4690, -0.002001
4700, -0.002053
4710, -0.002071
4720, -0.001953
4730, -0.001972
4740, -0.001732
4750, -0.001264
4760, -0.000804
4770, -0.000729
4780, -0.001040
4790, -0.001562
4800, -0.001462
4810, -0.001232
4820, -0.000553
4830, -0.001185
4840, -0.001981
4850, -0.003273
4860, -0.003544
4870, -0.004534
4880, -0.004718
4890, -0.005141
4900, -0.004885
4910, -0.005536
4920, -0.006085
4930, -0.005989
4940, -0.005945
4950, -0.006293
4960, -0.007234
4970, -0.008372
4980, -0.009384
4990, -0.010180
5000, -0.010187
5010, -0.009947
5020, -0.009991
5030, -0.010628
5040, -0.012604
5050, -0.014194
5060, -0.015777
5070, -0.016236
5080, -0.017502
5090, -0.017697
5100, -0.018428
5110, -0.018362
5120, -0.018301
5130, -0.018166
5140, -0.018108
5150, -0.018279
5160, -0.018372
5170, -0.018095
5180, -0.018693
5190, -0.019093
5200, -0.020596
5210, -0.021030
5220, -0.021342
5230, -0.021753
5240, -0.022693
5250, -0.023438
5260, -0.023810
5270, -0.024479
5280, -0.025058
5290, -0.025337
5300, -0.026216
5310, -0.027552
5320, -0.029505
5330, -0.030482
5340, -0.031507
5350, -0.033542
5360, -0.036001
5370, -0.038346
5380, -0.039310
5390, -0.040070
5400, -0.041335
5410, -0.042589
5420, -0.044658
5430, -0.047259
5440, -0.049182
5450, -0.049871
5460, -0.050403
5470, -0.051882
5480, -0.054637
5490, -0.055829
5500, -0.055987
5510, -0.055391
5520, -0.056306
5530, -0.057253
5540, -0.059383
5550, -0.061073
5560, -0.062241
5570, -0.062292
5580, -0.062924
5590, -0.065121
5600, -0.067384
5610, -0.068462
5620, -0.069658
5630, -0.070458
5640, -0.071760
5650, -0.073974
5660, -0.076386
5670, -0.077314
5680, -0.076753
5690, -0.077621
5700, -0.079417
5710, -0.081977
5720, -0.085276
5730, -0.088550
5740, -0.090305
5750, -0.090322
5760, -0.091269
5770, -0.092902
5780, -0.094759
5790, -0.097210
5800, -0.100231
5810, -0.100939
5820, -0.100199
5830, -0.099157
5840, -0.099859
5850, -0.101487
5860, -0.102186
5870, -0.103565
5880, -0.103584
5890, -0.104690
5900, -0.104682
5910, -0.106025
5920, -0.106595
5930, -0.107471
5940, -0.106936
5950, -0.107089
5960, -0.106931
5970, -0.107601
5980, -0.108363
5990, -0.109730
6000, -0.110698
6010, -0.112027
6020, -0.112674
6030, -0.113074
6040, -0.112654
6050, -0.113138
6060, -0.113965
6070, -0.114671
6080, -0.114938
6090, -0.115254
6100, -0.116528
6110, -0.118273
6120, -0.119702
6130, -0.121785
6140, -0.124250
6150, -0.126758
6160, -0.127304
6170, -0.125839
6180, -0.125431
6190, -0.125314
6200, -0.126092
6210, -0.125785
6220, -0.126074
6230, -0.125215
6240, -0.124248
6250, -0.123310
6260, -0.123376
6270, -0.123347
6280, -0.123575
6290, -0.124079
6300, -0.124400
6310, -0.124164
6320, -0.123575
6330, -0.124012
6340, -0.122671
6350, -0.121957
6360, -0.121233
6370, -0.121674
6380, -0.122809
6390, -0.122873
6400, -0.123500
