time,yellow_line_angle
10, -0.054458
20, -0.108550
30, -0.162586
40, -0.161998
50, -0.161061
60, -0.160365
70, -0.159187
80, -0.158474
90, -0.157403
100, -0.156969
110, -0.156710
120, -0.156315
130, -0.155398
140, -0.154596
150, -0.154504
160, -0.154447
170, -0.154347
180, -0.153814
190, -0.154133
200, -0.154452
210, -0.154985
220, -0.155167
230, -0.155360
240, -0.155371
250, -0.155382
260, -0.155371
270, -0.155360
280, -0.155349
290, -0.154848
300, -0.153991
310, -0.152625
320, -0.151759
330, -0.151458
340, -0.151875
350, -0.151386
360, -0.150706
370, -0.149852
380, -0.149078
390, -0.148227
400, -0.147205
410, -0.146906
420, -0.145489
430, -0.143822
440, -0.142711
450, -0.141285
460, -0.140868
470, -0.139614
480, -0.138117
490, -0.136242
500, -0.134024
510, -0.133445
520, -0.130980
530, -0.129051
540, -0.126326
550, -0.125458
560, -0.123155
570, -0.120660
580, -0.118508
590, -0.115969
600, -0.113365
610, -0.109683
620, -0.107122
630, -0.104514
640, -0.101742
650, -0.099000
660, -0.096183
670, -0.093720
680, -0.090560
690, -0.087942
700, -0.083880
710, -0.080389
720, -0.076389
730, -0.073644
740, -0.070668
750, -0.066823
760, -0.063746
770, -0.059901
780, -0.057565
790, -0.054335
800, -0.051801
810, -0.048976
820, -0.045241
830, -0.041870
840, -0.038247
850, -0.035203
860, -0.032699
870, -0.030137
880, -0.027430
890, -0.023810
900, -0.020614
910, -0.017655
920, -0.013879
930, -0.010485
940, -0.007008
950, -0.004011
960, -0.000444
970, 0.002654
980, 0.005319
990, 0.008444
1000, 0.011726
1010, 0.014604
1020, 0.016948
1030, 0.019496
1040, 0.022374
1050, 0.024662
1060, 0.026563
1070, 0.027961
1080, 0.029655
1090, 0.031578
1100, 0.033559
1110, 0.035198
1120, 0.036480
1130, 0.037164
1140, 0.037811
1150, 0.038863
1160, 0.040088
1170, 0.042303
1180, 0.044051
1190, 0.045673
1200, 0.045813
1210, 0.046084
1220, 0.046078
1230, 0.046234
1240, 0.047105
