time,yellow_line_angle
10, 0.046801
20, 0.093676
30, 0.140774
40, 0.141078
50, 0.141376
60, 0.141559
70, 0.140823
80, 0.140439
90, 0.140116
100, 0.140912
110, 0.140347
120, 0.139662
130, 0.138540
140, 0.138447
150, 0.138693
160, 0.139171
170, 0.139560
180, 0.140039
190, 0.139960
200, 0.140115
210, 0.139790
220, 0.140024
230, 0.139955
240, 0.140059
250, 0.140660
260, 0.141255
270, 0.141455
280, 0.141255
290, 0.141130
300, 0.141130
310, 0.141034
320, 0.141146
330, 0.140942
340, 0.140737
350, 0.140725
360, 0.141018
370, 0.141601
380, 0.141801
390, 0.141408
400, 0.139938
410, 0.139036
420, 0.138658
430, 0.138544
440, 0.137070
450, 0.135587
460, 0.134986
470, 0.133944
480, 0.134026
490, 0.132257
500, 0.131031
510, 0.128503
520, 0.126558
530, 0.125601
540, 0.123768
550, 0.121938
560, 0.119339
570, 0.117123
580, 0.114929
590, 0.112093
600, 0.110346
610, 0.107949
620, 0.105724
630, 0.103527
640, 0.101933
650, 0.099890
660, 0.097156
670, 0.093847
680, 0.092113
690, 0.089232
700, 0.086503
710, 0.082597
720, 0.079756
730, 0.077090
740, 0.073704
750, 0.069736
760, 0.065960
770, 0.063391
780, 0.060263
790, 0.057745
800, 0.054364
810, 0.051869
820, 0.049152
830, 0.047227
840, 0.044130
850, 0.041335
860, 0.038316
870, 0.036046
880, 0.032878
890, 0.029579
900, 0.026432
910, 0.023217
920, 0.020389
930, 0.016826
940, 0.013996
950, 0.010996
960, 0.008929
970, 0.006686
980, 0.003249
990, -0.000852
1000, -0.004864
1010, -0.008392
1020, -0.011134
1030, -0.013663
1040, -0.016129
1050, -0.018390
1060, -0.020933
1070, -0.022889
1080, -0.024982
1090, -0.026490
1100, -0.027727
1110, -0.029436
1120, -0.031534
1130, -0.033799
1140, -0.035069
1150, -0.036154
1160, -0.036889
1170, -0.037687
1180, -0.037990
1190, -0.038657
1200, -0.040375
1210, -0.043169
1220, -0.045891
1230, -0.046718
1240, -0.046947
1250, -0.046586
1260, -0.046638
1270, -0.046562
