time,yellow_line_angle
10, 0.005843
20, 0.011833
30, 0.017740
40, 0.017626
50, 0.017365
60, 0.017708
70, 0.018378
80, 0.018824
90, 0.018651
100, 0.018538
110, 0.018921
120, 0.019155
130, 0.018910
140, 0.018645
150, 0.018628
160, 0.019035
170, 0.019190
180, 0.019537
190, 0.019730
200, 0.020226
210, 0.020214
220, 0.020202
230, 0.019886
240, 0.019612
250, 0.019156
260, 0.018479
270, 0.017892
280, 0.017101
290, 0.016357
300, 0.015473
310, 0.015063
320, 0.014826
330, 0.014826
340, 0.014826
350, 0.014981
360, 0.015046
370, 0.015196
380, 0.015278
390, 0.015138
400, 0.014599
410, 0.014260
420, 0.014335
430, 0.014250
440, 0.013396
450, 0.011818
460, 0.010237
470, 0.008454
480, 0.007663
490, 0.006979
500, 0.007165
510, 0.006869
520, 0.006540
530, 0.006309
540, 0.006478
550, 0.007049
560, 0.006225
570, 0.004667
580, 0.002317
590, 0.001325
600, 0.000383
610, -0.000194
620, -0.001019
630, -0.001407
640, -0.001955
650, -0.002756
660, -0.003357
670, -0.003007
680, -0.002187
690, -0.001440
700, -0.001618
710, -0.001556
720, -0.002023
730, -0.001880
740, -0.002159
750, -0.001949
760, -0.002240
770, -0.002978
780, -0.004147
790, -0.005124
800, -0.006221
810, -0.006835
820, -0.007694
830, -0.008021
840, -0.008565
850, -0.008663
860, -0.008761
870, -0.008574
880, -0.008408
890, -0.008102
900, -0.008022
910, -0.007751
920, -0.007621
930, -0.007485
940, -0.007816
950, -0.008083
960, -0.008671
970, -0.009462
980, -0.009846
990, -0.010405
1000, -0.010615
1010, -0.011296
1020, -0.011952
1030, -0.012440
1040, -0.012927
1050, -0.012810
1060, -0.012929
1070, -0.013210
1080, -0.013914
1090, -0.014565
1100, -0.015054
1110, -0.014984
1120, -0.014776
1130, -0.014217
1140, -0.013865
1150, -0.013514
1160, -0.013514
1170, -0.013514
1180, -0.013514
1190, -0.013514
1200, -0.013514
1210, -0.013473
1220, -0.013641
1230, -0.013809
1240, -0.014017
1250, -0.014017
1260, -0.014017
1270, -0.014255
1280, -0.014476
1290, -0.014476
1300, -0.014029
1310, -0.013601
1320, -0.013393
1330, -0.013393
1340, -0.013269
1350, -0.012855
1360, -0.012442
1370, -0.012153
1380, -0.012269
1390, -0.012449
1400, -0.012502
1410, -0.012625
1420, -0.012625
1430, -0.012753
1440, -0.012753
1450, -0.012753
1460, -0.012688
1470, -0.012549
1480, -0.012265
1490, -0.012249
1500, -0.012005
1510, -0.012160
1520, -0.011346
1530, -0.011102
1540, -0.010417
1550, -0.010173
1560, -0.009430
1570, -0.008774
1580, -0.008286
1590, -0.007904
1600, -0.007540
1610, -0.007475
1620, -0.007475
1630, -0.007347
1640, -0.007050
1650, -0.006819
1660, -0.007153
1670, -0.007596
1680, -0.007815
1690, -0.007499
1700, -0.006870
1710, -0.006577
1720, -0.006586
1730, -0.006828
