time,ego_x,ego_y,ego_heading,ego_vel_lin,ego_vel_lin_x,ego_vel_lin_y,ego_vel_ang_x,ego_vel_ang_y,lead_x,lead_y,lead_heading,lead_vel_lin,lead_vel_lin_x,lead_vel_lin_y,lead_vel_ang_x,lead_vel_ang_y,distance_true,direction,ob_color_1,ob_color_2,ob_color_3,color_dist_from_black,dist_obst_follower,dist_obst_lead,ob_pos_x,ob_pos_y,gamma
10,-64.99743984171677,-104.27021487554525,0.04350687783204644,0.1544580101558618,0.14211299821288745,0.060507624645594504,-0.1087477309999461,-0.09106311301313019,-53.65466786728829,-104.86278570207969,-0.06703265042691954,0.29246242256253313,0.29238276268892816,-0.006825591075913303,-0.011219472406635045,-0.06203835530938213,11.358240015439886,S,0.0,0.0,1.0,1.0,150.23307746840467,141.85981290318358,53.33673469387755,-11.712121212121211,3.641759984560114
20,-64.99394902669671,-104.26956798727488,0.043500998180840765,0.3432994826491821,0.33586471059395895,0.07105934818749934,-0.07144599585461726,-0.12974660057493662,-53.649390194815425,-104.86310290618314,-0.06691695495398754,0.5176449142179085,0.5174044568934119,-0.01577609592070779,-0.00950287847233222,-0.11092634996364201,11.360074770439637,S,0.0,0.0,1.0,1.0,150.22992931940686,141.85604079229927,53.33673469387755,-11.712121212121211,3.6399252295603635
30,-64.9880543561247,-104.268866652002,0.04348962053588847,0.5764001566204889,0.5717014639104969,0.07344778223145268,-0.04818865544473429,-0.17137989775952034,-53.64146392183837,-104.86358784588846,-0.0667622688268012,0.777754491804351,0.7772681039144591,-0.027501711929728473,-0.009263035831132943,-0.16021178844089184,11.362165629046949,S,0.0,0.0,1.0,1.0,150.22485423574366,141.85038144145196,53.33673469387755,-11.712121212121211,3.637834370953051
40,-64.97930053701917,-104.26809958324905,0.04343370548544799,0.8558118630853363,0.8527575843676547,0.07223882128770384,-0.02838188927732745,-0.21535410537076813,-53.63085824276122,-104.86427255210897,-0.06655176499347033,1.0415741523481008,1.0408027379746716,-0.04007961407114213,-0.010608130899637734,-0.20250227518613081,11.364091020178511,S,0.0,0.0,1.0,1.0,150.21748674836587,141.84283287472243,53.33673469387755,-11.712121212121211,3.6359089798214885
50,-64.96817359307173,-104.26734994586909,0.04340583724549149,1.088846001448031,1.08642440122896,0.07257847672458811,-0.013244916513398344,-0.24138117331233097,-53.617671113231964,-104.86515639164217,-0.06629822932323866,1.296286782246739,1.2951544404984436,-0.054170075547000235,-0.012619757109484177,-0.23523649951807166,11.366234164905121,S,0.0,0.0,1.0,1.0,150.20826106023551,141.83346884536434,53.33673469387755,-11.712121212121211,3.633765835094879
60,-64.95516037606994,-104.26663757140537,0.043406452288406755,1.2749996961781334,1.2730052187909568,0.07128771412607046,-0.0010902581647976514,-0.25125077362523607,-53.60238522950122,-104.86619012744802,-0.06603623160699652,1.5041160049101165,1.5025819728531047,-0.06791443943405508,-0.013571580094923678,-0.2509553701766512,11.368595638688431,S,0.0,0.0,1.0,1.0,150.19757300882216,141.82262134606114,53.33673469387755,-11.712121212121211,3.631404361311569
70,-64.94066308041455,-104.26595750793449,0.04343550152210132,1.4225894299055721,1.4208375162248137,0.07057930693314562,0.01017045178806384,-0.24776156097227542,-53.585431706230295,-104.86733232548536,-0.06578663011625682,1.6701998885792317,1.6682670777086208,-0.08032823441117234,-0.013452907252978506,-0.2522084524587071,11.371144675556758,S,0.0,0.0,1.0,1.0,150.18573646432048,141.81058855130595,53.33673469387755,-11.712121212121211,3.6288553244432418
80,-64.9250016735927,-104.26529587021474,0.043486628697129506,1.5396233361720202,1.538007105368198,0.07052773300197378,0.02060795963623232,-0.2337569427564919,-53.56716256593378,-104.8685541617708,-0.06555960081305973,1.8023730269543297,1.800061276141115,-0.09125749519756114,-0.012662898198291426,-0.241791307734519,11.373848502674793,S,0.0,0.0,1.0,1.0,150.17299500223268,141.79761721989146,53.33673469387755,-11.712121212121211,3.626151497325207
90,-64.90841844499428,-104.26464439659935,0.043566214063447795,1.6335981266739081,1.6319997938489217,0.07224619263033571,0.02998488368674657,-0.21193642925902345,-53.54785124500401,-104.86983624938895,-0.0653600882679566,1.9083414009724105,1.905669756084423,-0.10094396173361761,-0.01149590688383481,-0.2224745434270696,11.376675449540507,S,0.0,0.0,1.0,1.0,150.15953445801773,141.7839009982831,53.33673469387755,-11.712121212121211,3.6233245504594933
100,-64.89108592434694,-104.26399383532646,0.043664966461809375,1.7112355302622926,1.7096401209834866,0.07387622591632112,0.03759688702153532,-0.1847938228200821,-53.52769649010098,-104.8711658330853,-0.06519079873291507,1.9953619592293645,1.9923416754072982,-0.10974514465290788,-0.010123014634516904,-0.19687956257030362,11.379599169970582,S,0.0,0.0,1.0,1.0,150.14548509428138,141.76958152920557,53.33673469387755,-11.712121212121211,3.6204008300294177
