time,ego_x,ego_y,yaw,cone0_x,cone0_y,cone0_min_dist,cone1_x,cone1_y,cone1_min_dist,cone2_x,cone2_y,cone2_min_dist,speed_car,broken_car_color0,broken_car_color1,broken_car_color2,min_distance_cones
0,31.92807533137672,14.876728811268542,-3.1128548395676687,-8.296818772809917,17.98060356445156,38.36077321378774,-7.320233729403885,16.592691565208433,37.42280457985515,-9.299874911528436,19.24702520654339,39.36008282754417,0.0054591114669200495,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.42280457985515
1,31.924425317559958,14.876736382560331,-3.112797142789896,-8.296818772809917,17.98060356445156,38.35689997740279,-7.320233729403885,16.592691565208433,37.41899090384318,-9.299874911528436,19.24702520654339,39.356212484394,0.11285259088231918,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.41899090384318
2,31.917706390118784,14.876757573232796,-3.1128897920481897,-8.296818772809917,17.98060356445156,38.35054251657318,-7.320233729403885,16.592691565208433,37.41254119412643,-9.299874911528436,19.24702520654339,39.349848029963056,0.2040039870623881,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.41254119412643
3,31.906853389196673,14.876764795787361,-3.1131521513747336,-8.296818772809917,17.98060356445156,38.34071062905354,-7.320233729403885,16.592691565208433,37.402445567530464,-9.299874911528436,19.24702520654339,39.33999887931811,0.3280265135581159,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.402445567530464
4,31.891641350918526,14.876809861271632,-3.1135700856311925,-8.296818772809917,17.98060356445156,38.32712574892603,-7.320233729403885,16.592691565208433,37.388440386743454,-9.299874911528436,19.24702520654339,39.32638561180768,0.45944331270237254,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.388440386743454
5,31.87200612951253,14.876957607040858,-3.1141418343264458,-8.296818772809917,17.98060356445156,38.30971854895665,-7.320233729403885,16.592691565208433,37.37045877757344,-9.299874911528436,19.24702520654339,39.30893688346894,0.5937422200891191,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.37045877757344
6,31.847920817081352,14.877274964004565,-3.1148964841220987,-8.296818772809917,17.98060356445156,38.288577030998596,-7.320233729403885,16.592691565208433,37.34855987944091,-9.299874911528436,19.24702520654339,39.28773674231559,0.730460703807903,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.34855987944091
7,31.819471350431254,14.877796648468175,-3.1158550769232836,-8.296818772809917,17.98060356445156,38.263870467832675,-7.320233729403885,16.592691565208433,37.32289192475295,-9.299874911528436,19.24702520654339,39.26295206537665,0.8665947345001268,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.32289192475295
8,31.787777913672457,14.878624602295917,-3.116998534292467,-8.296818772809917,17.98060356445156,38.2366477800551,-7.320233729403885,16.592691565208433,37.294523961539554,-9.299874911528436,19.24702520654339,39.235629718139826,0.9737288492014958,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.294523961539554
9,31.753526239122724,14.879542767298188,-3.1183086520628267,-8.296818772809917,17.98060356445156,38.207520713667044,-7.320233729403885,16.592691565208433,37.264083898167485,-9.299874911528436,19.24702520654339,39.206389719926875,1.061745377715491,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.264083898167485
10,31.716692742478447,14.880465354514984,-3.119754916962657,-8.296818772809917,17.98060356445156,38.17634636816718,-7.320233729403885,16.592691565208433,37.23084691807261,-9.299874911528436,19.24702520654339,39.175093852678565,1.1505944164990214,0.7636427746458803,0.5463508824577039,0.20753475424549894,37.23084691807261
